turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,3-0,3-2,-1,-1
2,0,0,0,capture,swap,capture,2,capture,2-6,3-5,-1,-1
3,1,0,0,capture,move1,capture,1,move1,3-2,3-5,-1,-1
4,0,0,3,move1,move1,capture,0,move1,3-6,3-5,-1,-1
5,1,0,3,swap,move1,capture,0,swap,3-0,3-1,-1,-1
6,0,0,6,swap,move1,capture,2,capture,3-2,3-1,-1,-1
7,1,0,6,move2,move1,capture,0,move2,2-0,3-2,-1,-1
8,0,0,9,move2,move1,move2,2,move2,2-0,3-0,-1,-1
9,1,2,9,move2,mobilize,move2,1,mobilize,3-2,3-3,-1,-1
10,0,2,9,move2,mobilize,move2,1,mobilize,2-0,2-1,4-6,4-5
11,1,4,9,move2,move1,move2,1,move1,3-0,3-1,4-0,4-1
12,0,4,9,move1,move1,move2,0,move1,4-5,3-5,-1,-1
13,1,6,9,move1,move1,capture,2,capture,4-1,3-2,-1,-1
14,0,6,12,move1,move1,move1,2,move1,2-1,3-1,-1,-1
15,1,8,12,move2,move1,move1,0,move2,2-0,3-0,-1,-1
16,0,8,12,move2,capture,move1,1,capture,2-1,2-2,-1,-1
17,1,13,12,move2,mobilize,move1,1,mobilize,3-3,3-5,3-2,-1
18,0,13,12,mobilize,mobilize,move1,0,mobilize,2-6,3-5,-1,-1
19,1,15,12,mobilize,mobilize,move1,2,move1,3-0,3-1,-1,-1
20,0,15,12,move2,mobilize,move1,0,move2,2-2,2-3,3-5,2-5
21,1,17,12,move1,mobilize,move1,0,move1,3-1,2-2,-1,-1
22,0,17,12,move1,swap,move1,1,swap,2-3,2-4,3-6,3-5
23,1,19,12,move1,swap,move1,1,swap,2-2,2-4,-1,-1
24,0,19,14,move1,mobilize,move1,1,mobilize,2-5,3-3,-1,-1
25,1,19,14,move1,mobilize,move1,0,move1,2-5,2-6,-1,-1
26,0,19,16,move1,move1,move1,1,move1,2-2,2-3,3-5,3-4
27,1,19,16,mobilize,move1,move1,0,mobilize,2-6,2-5,-1,-1
28,0,19,19,mobilize,move2,move1,1,move2,2-3,1-3,-1,-1
29,1,19,19,swap,move2,move1,0,swap,2-5,2-6,2-4,2-3
30,0,19,21,swap,move2,move1,0,swap,1-3,2-3,-1,-1
31,1,20,21,move1,move2,move1,0,move1,2-6,2-3,-1,-1
32,0,20,23,move1,mobilize,move1,1,mobilize,2-6,2-4,-1,-1
33,1,21,23,move2,mobilize,move1,0,move2,3-2,2-2,-1,-1
34,0,21,25,move2,mobilize,mobilize,2,mobilize,2-4,1-4,-1,-1
35,1,22,25,capture,mobilize,mobilize,0,capture,2-2,1-2,-1,-1
36,0,22,30,capture,mobilize,mobilize,0,capture,3-3,2-3,-1,-1
37,1,26,30,move1,mobilize,mobilize,0,move1,1-3,1-4,-1,-1
38,0,26,32,move1,mobilize,mobilize,0,move1,2-6,2-5,-1,-1
39,1,27,32,move1,move1,mobilize,1,move1,2-0,2-1,1-2,2-2
40,0,27,34,swap,move1,mobilize,0,swap,2-5,2-4,-1,-1
41,1,29,34,capture,move1,mobilize,0,capture,1-3,3-3,-1,-1
42,0,29,38,capture,move1,mobilize,0,capture,3-4,3-3,-1,-1
43,1,32,38,mobilize,move1,mobilize,0,mobilize,2-2,2-4,2-1,-1
44,0,32,41,mobilize,capture,mobilize,1,capture,3-4,3-3,-1,-1
45,1,32,41,swap,capture,mobilize,0,swap,2-1,1-1,2-2,2-3
46,0,32,47,swap,move2,mobilize,1,move2,3-3,2-3,-1,-1
47,1,34,47,move1,move2,mobilize,0,move1,3-0,3-3,-1,-1
48,0,34,48,move1,move2,mobilize,1,move2,2-6,2-4,-1,-1
49,1,36,48,move1,move2,mobilize,1,move2,2-0,2-2,-1,-1
50,0,36,49,move1,move2,mobilize,2,mobilize,2-4,1-4,3-0,3-1
51,1,38,49,move1,move2,move2,2,move2,1-1,2-1,2-2,2-3
52,0,38,50,move1,mobilize,move2,1,mobilize,3-1,2-2,-1,-1
53,1,40,50,move1,mobilize,move1,2,move1,2-1,3-2,-1,-1
54,0,40,51,mobilize,mobilize,move1,0,mobilize,2-2,1-2,-1,-1
55,1,42,51,mobilize,mobilize,swap,2,swap,3-2,2-2,-1,-1
56,0,42,54,mobilize,mobilize,move2,2,move2,1-4,3-3,-1,-1
57,1,42,54,move2,mobilize,move2,0,move2,2-2,2-1,2-3,2-4
58,0,42,56,move2,move1,move2,1,move1,1-2,2-2,1-3,2-3
59,1,43,56,move2,mobilize,move2,1,mobilize,1-4,1-3,-1,-1
60,0,43,58,move1,mobilize,move2,0,move1,2-2,3-2,-1,-1
61,1,44,58,mobilize,mobilize,move2,0,mobilize,2-1,2-2,-1,-1
62,0,44,60,mobilize,mobilize,move1,2,move1,3-2,4-3,-1,-1
63,1,45,60,move2,mobilize,move1,0,move2,2-2,1-2,2-4,1-4
64,0,45,63,move2,mobilize,move1,2,move1,4-3,5-3,-1,-1
65,1,46,63,capture,mobilize,move1,0,capture,1-2,0-3,-1,-1
66,0,46,69,swap,mobilize,move1,0,swap,2-3,1-3,-1,-1
67,1,48,69,move2,mobilize,move1,0,move2,0-3,3-3,-1,-1
68,0,48,71,move1,mobilize,move1,0,move1,0-3,1-3,-1,-1
69,1,50,71,move1,capture,move1,1,capture,1-4,2-4,2-0,2-1
70,0,50,76,move1,move1,move1,1,move1,2-3,2-4,-1,-1
71,1,52,76,capture,move1,move1,0,capture,2-0,1-0,-1,-1
72,0,52,81,capture,move1,move1,0,capture,2-3,3-3,-1,-1
73,1,55,81,swap,move1,move1,0,swap,2-1,2-3,2-0,-1
74,0,55,82,capture,move1,move1,0,capture,1-3,2-1,-1,-1
75,1,59,82,mobilize,move1,move1,0,mobilize,2-0,2-1,-1,-1
76,0,59,83,swap,move1,move1,0,swap,3-6,3-5,2-6,2-5
77,1,60,83,swap,move2,move1,1,move2,1-0,1-1,-1,-1
78,0,60,86,swap,move1,move1,1,move1,3-5,3-3,-1,-1
79,1,62,86,capture,move1,move1,0,capture,1-3,3-3,-1,-1
80,0,62,88,capture,move2,move1,1,move2,2-5,2-4,-1,-1
81,1,64,88,capture,move1,move1,1,move1,2-0,1-0,-1,-1
82,0,64,90,capture,mobilize,move1,1,mobilize,2-4,1-4,-1,-1
83,1,69,90,move1,mobilize,move1,0,move1,1-1,1-3,1-0,-1
84,0,69,91,move1,capture,move1,1,capture,2-6,2-5,1-4,2-4
85,1,71,91,move1,capture,move1,0,move1,1-1,1-2,-1,-1
86,0,71,92,mobilize,capture,move1,0,mobilize,2-5,3-5,-1,-1
87,1,74,92,move2,capture,move1,0,move2,1-0,1-1,1-2,1-3
88,0,74,93,move2,capture,capture,2,capture,3-5,3-4,-1,-1
89,1,80,93,move2,move2,capture,1,move2,3-3,3-4,-1,-1
90,0,80,94,mobilize,move2,capture,0,mobilize,2-6,2-5,-1,-1
91,1,83,94,mobilize,move2,capture,1,move2,1-1,1-2,-1,-1
92,0,83,95,mobilize,move1,capture,1,move1,2-5,3-4,-1,-1
93,1,89,95,mobilize,move1,move2,2,move2,3-3,3-4,-1,-1
94,0,89,96,mobilize,mobilize,move2,1,mobilize,2-6,2-5,-1,-1
95,1,92,96,mobilize,mobilize,swap,2,swap,1-2,2-3,-1,-1
96,0,92,98,mobilize,mobilize,mobilize,2,mobilize,5-3,3-3,-1,-1
97,1,93,98,swap,mobilize,mobilize,0,swap,2-3,2-2,1-3,1-2
98,0,93,100,swap,move1,mobilize,1,move1,2-5,3-5,2-4,3-4
99,1,96,100,move2,move1,mobilize,0,move2,1-2,3-3,-1,-1
100,0,96,100,swap,move1,mobilize,0,swap,1-2,2-3,-1,-1
