turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,swap,2,swap,3-0,3-2,-1,-1
2,0,0,0,move1,mobilize,swap,1,mobilize,2-6,2-5,4-6,4-5
3,1,2,0,move1,mobilize,swap,1,mobilize,2-0,3-0,3-2,3-3
4,0,2,0,move1,mobilize,swap,1,mobilize,3-6,2-6,4-5,4-4
5,1,4,0,move1,move2,swap,1,move2,3-0,3-1,4-0,4-1
6,0,4,0,move1,capture,swap,1,capture,2-6,3-5,-1,-1
7,1,6,0,capture,capture,swap,0,capture,3-1,3-2,-1,-1
8,0,6,2,capture,capture,capture,2,capture,3-5,3-3,-1,-1
9,1,9,2,move1,capture,capture,0,move1,3-5,2-5,-1,-1
10,0,9,4,move2,capture,capture,0,move2,2-6,3-6,-1,-1
11,1,12,4,move2,move2,capture,1,move2,3-5,3-6,-1,-1
12,0,12,4,swap,move2,capture,0,swap,3-3,2-2,-1,-1
13,1,15,4,swap,move2,move1,2,move1,3-2,2-2,-1,-1
14,0,15,4,swap,move2,swap,2,swap,4-4,4-3,-1,-1
15,1,17,4,swap,swap,swap,1,swap,3-5,3-3,-1,-1
16,0,17,6,swap,swap,move1,2,move1,4-3,3-3,-1,-1
17,1,19,6,capture,swap,move1,0,capture,4-1,3-3,-1,-1
18,0,19,8,capture,move1,move1,1,move1,3-6,3-3,-1,-1
19,1,22,8,move1,move1,move1,0,move1,3-6,2-6,-1,-1
20,0,22,8,move1,mobilize,move1,1,mobilize,3-3,3-4,-1,-1
21,1,24,8,move1,move2,move1,1,move2,4-3,3-3,3-6,3-5
22,0,24,8,move1,capture,move1,1,capture,4-1,2-1,-1,-1
23,1,29,8,move1,move1,move1,1,move1,3-3,3-4,-1,-1
24,0,29,8,move1,move1,move2,2,move2,2-6,2-5,-1,-1
25,1,31,8,move1,move1,move2,0,move1,3-5,3-4,-1,-1
26,0,31,8,move1,move1,move1,2,move1,2-1,2-2,-1,-1
27,1,33,8,move1,move1,move1,0,move1,3-2,3-1,-1,-1
28,0,33,8,move2,move1,move1,0,move2,3-6,2-6,-1,-1
29,1,35,8,capture,move1,move1,0,capture,3-1,3-2,-1,-1
30,0,35,8,capture,move1,move2,2,move2,2-5,1-5,-1,-1
31,1,40,8,swap,move1,move2,0,swap,3-2,2-2,-1,-1
32,0,40,8,swap,move1,move1,2,move1,1-5,0-4,-1,-1
33,1,42,8,move1,move1,move1,0,move1,3-4,3-6,-1,-1
34,0,42,8,move1,move1,move2,2,move2,2-6,2-5,-1,-1
35,1,44,8,capture,move1,move2,0,capture,3-6,3-5,-1,-1
36,0,44,11,capture,move1,move2,0,capture,3-4,3-5,-1,-1
37,1,49,11,mobilize,move1,move2,0,mobilize,3-3,3-4,-1,-1
38,0,49,11,mobilize,move1,mobilize,2,mobilize,2-5,4-5,-1,-1
