turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,swap,move1,2,move1,1-0,2-1,-1,-1
2,0,0,0,move1,swap,move2,2,move2,1-4,0-4,-1,-1
3,1,0,0,move2,swap,move2,0,move2,3-0,3-1,-1,-1
4,0,0,0,move2,swap,swap,2,swap,3-4,3-2,-1,-1
5,1,0,0,swap,swap,swap,0,swap,2-0,3-0,-1,-1
6,0,0,0,swap,swap,move2,2,move2,2-4,2-1,-1,-1
7,1,1,0,swap,swap,mobilize,2,mobilize,2-4,2-2,-1,-1
8,0,1,0,swap,swap,swap,2,swap,0-4,1-4,2-1,2-0
9,1,1,0,move1,swap,swap,0,move1,2-2,3-2,-1,-1
10,0,1,1,move1,swap,mobilize,2,mobilize,2-0,3-2,-1,-1
11,1,1,1,move1,mobilize,mobilize,1,mobilize,3-0,3-2,-1,-1
12,0,1,1,move1,mobilize,capture,2,capture,1-4,2-4,2-2,2-3
13,1,6,1,move1,mobilize,move1,2,move1,2-0,3-0,-1,-1
14,0,6,1,move1,mobilize,move1,2,move1,1-4,0-4,-1,-1
15,1,7,1,move1,move1,move1,1,move1,3-2,2-2,3-1,2-1
16,0,7,1,move1,move1,move1,1,move1,2-4,1-4,-1,-1
17,1,8,1,mobilize,move1,move1,0,mobilize,2-0,1-0,-1,-1
18,0,8,1,move1,move1,move1,0,move1,1-4,2-4,2-3,3-3
19,1,9,1,mobilize,move1,move1,0,mobilize,1-0,2-0,-1,-1
20,0,9,1,mobilize,move1,capture,2,capture,2-4,2-3,-1,-1
21,1,15,1,mobilize,move1,capture,2,capture,2-2,2-3,-1,-1
22,0,15,1,mobilize,move2,capture,1,move2,1-4,2-4,-1,-1
23,1,21,1,mobilize,move2,capture,2,capture,2-2,2-4,2-1,-1
24,0,21,1,move2,move2,capture,0,move2,0-4,0-3,3-3,3-4
25,1,22,1,capture,move2,capture,0,capture,2-0,1-1,-1,-1
26,0,22,1,capture,mobilize,capture,1,mobilize,1-4,1-2,-1,-1
27,1,28,1,move1,mobilize,capture,0,move1,1-1,1-2,-1,-1
28,0,28,1,move1,swap,capture,1,swap,0-3,0-4,3-4,2-4
29,1,34,1,move1,swap,move2,2,move2,2-2,2-4,2-1,-1
30,0,34,1,move1,swap,move1,2,move1,1-4,1-2,-1,-1
31,1,35,1,move1,swap,move1,1,swap,1-1,1-2,-1,-1
32,0,35,1,swap,swap,move1,0,swap,2-4,2-3,-1,-1
33,1,36,1,move1,swap,move1,0,move1,1-2,1-1,-1,-1
34,0,36,1,move2,swap,move1,0,move2,0-4,0-3,-1,-1
35,1,36,1,move2,mobilize,move1,1,mobilize,2-2,1-2,-1,-1
36,0,36,2,move2,mobilize,mobilize,2,mobilize,2-3,2-4,-1,-1
37,1,36,2,mobilize,mobilize,mobilize,0,mobilize,1-1,2-0,-1,-1
38,0,36,3,mobilize,mobilize,capture,2,capture,0-3,0-2,2-4,2-3
39,1,41,3,mobilize,mobilize,capture,2,capture,1-2,0-2,-1,-1
40,0,41,9,mobilize,mobilize,move2,2,move2,2-2,2-1,2-3,-1
41,1,41,9,mobilize,mobilize,move1,2,move1,2-0,1-1,-1,-1
42,0,41,10,mobilize,mobilize,move2,2,move2,2-3,1-3,-1,-1
