turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,2-4,2-3,-1,-1
3,1,0,0,move1,mobilize,mobilize,0,move1,3-0,3-1,-1,-1
4,0,0,1,move1,mobilize,mobilize,0,move1,2-3,2-2,-1,-1
5,1,0,1,capture,mobilize,mobilize,0,capture,2-0,3-0,-1,-1
6,0,0,7,capture,mobilize,mobilize,0,capture,2-2,2-1,-1,-1
7,1,5,7,mobilize,mobilize,mobilize,0,mobilize,3-1,3-4,3-0,-1
8,0,5,8,capture,mobilize,mobilize,0,capture,1-4,1-3,2-4,2-3
9,1,5,8,capture,swap,mobilize,1,swap,1-0,2-0,3-1,2-1
10,0,5,14,move1,swap,mobilize,0,move1,2-2,2-1,-1,-1
11,1,5,14,move1,move1,mobilize,1,move1,1-0,1-3,-1,-1
12,0,5,15,capture,move1,mobilize,0,capture,1-0,1-1,-1,-1
13,1,10,15,move1,move1,mobilize,0,move1,1-3,2-3,-1,-1
14,0,10,16,move1,move1,move2,2,move2,1-1,2-1,1-4,2-4
15,1,10,16,move1,move1,capture,2,capture,1-3,1-1,-1,-1
16,0,10,22,move1,move1,move2,2,move2,2-1,2-0,-1,-1
17,1,10,22,move1,move1,swap,2,swap,3-0,2-0,-1,-1
18,0,10,23,mobilize,move1,swap,0,mobilize,2-4,2-3,-1,-1
19,1,10,23,mobilize,move1,mobilize,2,mobilize,1-0,2-1,-1,-1
20,0,10,24,mobilize,move2,mobilize,1,move2,1-0,0-0,-1,-1
21,1,10,24,mobilize,move1,mobilize,1,move1,1-1,1-0,-1,-1
22,0,10,25,mobilize,move2,mobilize,1,move2,0-0,0-1,-1,-1
23,1,10,25,mobilize,swap,mobilize,1,swap,1-0,1-1,-1,-1
