turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,swap,2,swap,2-0,2-1,3-0,4-0
2,0,0,0,move1,capture,swap,0,move1,1-4,1-3,3-4,3-3
3,1,1,0,mobilize,capture,swap,0,mobilize,2-1,2-2,-1,-1
4,0,1,0,move2,capture,swap,0,move2,2-4,1-4,3-3,2-3
5,1,7,0,move2,capture,swap,1,capture,2-2,2-3,-1,-1
6,0,7,5,move2,move2,swap,1,move2,1-3,1-0,1-4,-1
7,1,7,5,move2,capture,swap,1,capture,2-2,2-0,-1,-1
8,0,7,10,move2,move1,swap,1,move1,1-3,1-0,1-4,-1
9,1,7,10,move1,move1,swap,0,move1,4-0,3-0,-1,-1
10,0,7,10,move2,move1,swap,0,move2,2-4,2-3,-1,-1
11,1,7,10,move1,move1,swap,0,move1,1-0,2-1,-1,-1
12,0,7,10,move1,move1,capture,2,capture,1-3,2-1,-1,-1
13,1,7,10,move1,capture,capture,1,capture,1-3,0-3,-1,-1
14,0,7,15,move1,move2,capture,1,move2,2-1,2-0,-1,-1
15,1,7,15,move2,move2,capture,0,move2,0-3,0-2,-1,-1
16,0,7,16,swap,move2,capture,0,swap,2-1,2-2,-1,-1
17,1,7,16,swap,swap,capture,1,swap,0-2,1-3,-1,-1
18,0,7,22,swap,swap,move1,2,move1,1-4,1-3,-1,-1
19,1,8,22,swap,move1,move1,1,move1,3-0,2-2,-1,-1
20,0,8,22,move1,move1,move1,0,move1,3-0,2-0,-1,-1
21,1,9,22,move1,move2,move1,1,move2,3-0,4-0,-1,-1
22,0,9,22,mobilize,move2,move1,0,mobilize,2-0,2-1,-1,-1
23,1,9,22,mobilize,move2,move1,2,move1,2-2,3-2,-1,-1
24,0,9,23,mobilize,move2,move1,0,mobilize,2-1,2-2,1-4,1-3
25,1,9,23,mobilize,swap,move1,1,swap,1-0,1-2,-1,-1
26,0,9,24,mobilize,move1,move1,1,move1,1-3,1-2,-1,-1
27,1,9,24,mobilize,capture,move1,1,capture,3-2,4-2,-1,-1
28,0,9,30,mobilize,capture,move1,1,capture,1-2,1-3,-1,-1
29,1,9,30,mobilize,capture,move1,2,move1,4-2,3-2,-1,-1
30,0,9,36,mobilize,mobilize,move1,1,mobilize,2-2,3-2,-1,-1
31,1,9,36,mobilize,mobilize,move1,1,mobilize,1-0,1-1,2-0,3-0
32,0,9,37,mobilize,mobilize,move1,2,move1,2-3,1-3,-1,-1
33,1,9,37,swap,mobilize,move1,0,swap,1-1,0-1,3-0,3-1
34,0,9,37,move1,mobilize,move1,0,move1,2-2,3-1,-1,-1
35,1,9,37,move1,mobilize,capture,2,capture,2-2,2-3,-1,-1
36,0,9,42,move1,mobilize,capture,2,capture,1-3,2-3,-1,-1
37,1,9,42,move2,mobilize,capture,0,move2,4-0,4-1,-1,-1
38,0,9,47,move2,mobilize,move2,2,move2,1-2,1-0,1-3,-1
39,1,9,47,move2,mobilize,move2,2,move2,0-1,0-3,-1,-1
40,0,9,47,mobilize,mobilize,move2,0,mobilize,3-1,1-1,-1,-1
41,1,9,47,mobilize,mobilize,swap,2,swap,0-3,0-2,-1,-1
42,0,9,47,mobilize,mobilize,move1,2,move1,1-3,0-2,-1,-1
43,1,9,47,move2,mobilize,move1,0,move2,4-1,4-0,1-0,0-0
44,0,9,48,move2,mobilize,mobilize,2,mobilize,1-2,2-2,-1,-1
45,1,9,48,move2,move1,mobilize,1,move1,1-3,1-2,0-0,1-0
46,0,9,49,move2,move1,mobilize,0,move2,0-2,1-3,-1,-1
47,1,9,49,swap,move1,mobilize,0,swap,1-0,2-1,-1,-1
48,0,9,50,swap,move1,mobilize,0,swap,1-3,1-2,-1,-1
49,1,9,50,move1,move1,mobilize,0,move1,2-1,1-2,-1,-1
50,0,9,51,move2,move1,mobilize,0,move2,2-1,3-1,-1,-1
51,1,9,51,capture,move1,mobilize,0,capture,1-3,3-3,-1,-1
52,0,9,57,mobilize,move1,mobilize,0,mobilize,1-1,1-2,-1,-1
53,1,9,57,move1,move1,mobilize,0,move1,3-3,3-2,1-0,2-0
54,0,9,58,move1,move1,move1,2,move1,1-1,1-2,3-1,2-1
55,1,9,58,capture,move1,move1,0,capture,4-0,3-0,-1,-1
56,0,9,64,move2,move1,move1,0,move2,2-1,2-0,-1,-1
57,1,9,64,move2,move1,move1,0,move2,1-0,0-0,-1,-1
58,0,9,65,move2,capture,move1,1,capture,2-1,1-1,-1,-1
59,1,9,65,move1,capture,move1,0,move1,3-0,4-0,-1,-1
60,0,9,71,move1,move1,move1,1,move1,2-2,3-2,-1,-1
61,1,9,71,move1,move1,move2,2,move2,4-0,4-1,-1,-1
62,0,9,72,move2,move1,move2,0,move2,1-1,2-1,-1,-1
63,1,9,72,move2,move1,move1,2,move1,4-1,3-1,-1,-1
64,0,9,73,move2,capture,move1,1,capture,2-1,1-1,-1,-1
65,1,9,73,swap,capture,move1,0,swap,0-0,0-2,-1,-1
66,0,9,79,swap,swap,move1,1,swap,1-1,1-0,-1,-1
67,1,9,79,swap,swap,move2,2,move2,0-2,0-3,-1,-1
68,0,9,79,capture,swap,move2,0,capture,2-2,3-1,-1,-1
69,1,10,79,capture,swap,move1,2,move1,0-3,0-1,-1,-1
70,0,10,84,move2,swap,move1,0,move2,1-1,1-0,-1,-1
71,1,10,84,mobilize,swap,move1,0,mobilize,2-2,3-2,-1,-1
72,0,10,85,swap,swap,move1,0,swap,1-2,2-2,3-1,2-1
73,1,11,85,swap,swap,move1,0,swap,3-2,2-2,-1,-1
74,0,11,85,swap,swap,mobilize,2,mobilize,3-2,3-1,-1,-1
75,1,12,85,move1,swap,mobilize,0,move1,1-0,3-1,-1,-1
76,0,12,85,capture,swap,mobilize,0,capture,1-0,2-0,-1,-1
77,1,12,85,capture,swap,mobilize,2,mobilize,2-2,2-3,3-1,4-1
78,0,12,90,capture,swap,mobilize,0,capture,1-1,0-1,-1,-1
79,1,12,90,capture,move1,mobilize,1,move1,2-3,2-0,-1,-1
80,0,12,95,capture,move1,mobilize,0,capture,2-1,2-0,-1,-1
81,1,12,95,capture,mobilize,mobilize,1,mobilize,1-0,0-0,-1,-1
82,0,12,100,swap,mobilize,mobilize,0,swap,2-1,2-0,-1,-1
83,1,12,100,swap,mobilize,mobilize,2,mobilize,1-0,2-0,4-1,4-2
84,0,12,101,swap,move1,mobilize,1,move1,2-3,2-2,1-1,1-2
85,1,13,101,move2,move1,mobilize,0,move2,4-2,2-2,-1,-1
86,0,13,101,move2,move2,mobilize,1,move2,4-2,3-2,-1,-1
87,1,13,101,move2,move2,move1,2,move1,2-0,3-0,2-2,2-3
88,0,13,102,move1,move2,move1,0,move1,3-2,2-2,-1,-1
89,1,13,102,move1,move1,move1,1,move1,3-0,3-1,-1,-1
90,0,13,103,capture,move1,move1,0,capture,1-2,1-1,-1,-1
91,1,13,103,capture,move1,capture,2,capture,0-0,1-0,-1,-1
92,0,13,109,move2,move1,capture,0,move2,1-1,1-0,-1,-1
93,1,13,109,swap,move1,capture,0,swap,2-3,1-4,-1,-1
94,0,13,115,swap,move1,capture,2,capture,1-1,1-0,-1,-1
95,1,18,115,swap,move1,move1,2,move1,1-0,1-1,-1,-1
96,0,18,115,mobilize,move1,move1,0,mobilize,2-2,3-1,-1,-1
97,1,18,115,swap,move1,move1,0,swap,2-2,1-2,1-0,0-0
98,0,18,116,swap,move2,move1,1,move2,2-1,2-2,-1,-1
99,1,18,116,swap,move2,move1,2,move1,1-2,1-1,-1,-1
100,0,18,116,mobilize,move2,move1,0,mobilize,2-2,1-1,-1,-1
