turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,mobilize,2,mobilize,2-0,2-2,-1,-1
2,0,1,0,move1,move1,mobilize,1,move1,1-4,1-3,3-4,3-3
3,1,2,0,move1,move1,move1,2,move1,1-0,1-1,3-0,3-1
4,0,2,0,move1,move1,move1,0,move1,1-3,2-3,-1,-1
5,1,3,0,capture,move1,move1,0,capture,1-1,2-1,-1,-1
6,0,3,5,capture,move1,move1,0,capture,2-3,2-2,-1,-1
7,1,4,5,capture,mobilize,move1,1,mobilize,2-1,2-2,-1,-1
8,0,4,10,capture,mobilize,move1,0,capture,2-3,2-2,-1,-1
9,1,4,10,capture,swap,move1,1,swap,2-0,2-1,1-0,1-1
10,0,4,15,move1,swap,move1,0,move1,2-3,2-1,2-4,-1
11,1,4,15,move1,swap,move1,0,move1,1-1,1-2,-1,-1
12,0,4,15,capture,swap,move1,0,capture,2-4,3-4,-1,-1
13,1,5,15,capture,swap,move1,2,move1,1-2,2-2,-1,-1
14,0,5,20,move2,swap,move1,0,move2,3-3,3-1,3-4,-1
15,1,6,20,capture,swap,move1,0,capture,1-0,2-1,-1,-1
16,0,6,25,move2,swap,move1,0,move2,2-3,2-2,-1,-1
17,1,7,25,move2,swap,swap,2,swap,2-1,2-2,-1,-1
18,0,7,25,mobilize,swap,swap,0,mobilize,3-4,2-4,-1,-1
19,1,8,25,mobilize,mobilize,swap,1,mobilize,2-0,2-3,-1,-1
20,0,8,25,mobilize,mobilize,move2,2,move2,2-0,2-3,-1,-1
21,1,9,25,mobilize,mobilize,move1,2,move1,1-0,2-1,-1,-1
22,0,9,25,move2,mobilize,move1,0,move2,2-3,1-3,2-4,1-4
23,1,10,25,swap,mobilize,move1,0,swap,2-0,3-1,-1,-1
24,0,10,25,swap,move2,move1,1,move2,1-3,2-3,1-4,2-4
25,1,11,25,swap,move2,move1,0,swap,3-1,2-3,-1,-1
26,0,11,25,move1,move2,move1,0,move1,3-1,2-3,-1,-1
27,1,12,25,move1,swap,move1,1,swap,3-1,2-0,-1,-1
28,0,12,25,move1,move1,move1,1,move1,3-3,2-1,-1,-1
29,1,13,25,capture,move1,move1,0,capture,3-3,3-2,-1,-1
30,0,13,30,mobilize,move1,move1,0,mobilize,2-1,2-0,-1,-1
31,1,14,30,mobilize,move1,move1,0,mobilize,3-2,3-1,1-0,1-1
32,0,14,30,capture,move1,move1,0,capture,2-3,1-3,2-4,1-4
33,1,20,30,capture,move1,move1,0,capture,2-2,2-1,-1,-1
34,0,20,35,swap,move1,move1,0,swap,1-3,1-1,1-4,-1
35,1,21,35,mobilize,move1,move1,0,mobilize,1-0,1-3,-1,-1
36,0,21,35,mobilize,move1,move1,0,mobilize,1-0,1-1,2-4,2-3
37,1,22,35,move2,move1,move1,0,move2,3-1,2-1,1-3,1-2
38,0,22,35,swap,move1,move1,0,swap,2-3,1-3,-1,-1
39,1,23,35,move1,move1,move1,0,move1,2-1,1-3,-1,-1
40,0,23,35,move2,move1,move1,0,move2,1-4,2-4,-1,-1
41,1,24,35,mobilize,move1,move1,0,mobilize,1-3,2-3,-1,-1
42,0,24,35,mobilize,move1,move1,1,move1,2-4,1-4,-1,-1
43,1,25,35,mobilize,move2,move1,1,move2,2-3,1-3,-1,-1
44,0,25,35,mobilize,capture,move1,1,capture,1-4,2-3,-1,-1
45,1,31,35,mobilize,move2,move1,1,move2,2-2,2-1,-1,-1
46,0,31,35,move1,move2,move1,0,move1,1-1,2-1,1-4,2-4
47,1,32,35,move1,move2,move1,1,move2,1-3,0-2,-1,-1
48,0,32,35,move1,swap,move1,1,swap,2-4,1-3,-1,-1
49,1,33,35,move1,move1,move1,1,move1,0-2,2-3,-1,-1
50,0,33,35,capture,move1,move1,0,capture,2-1,1-1,-1,-1
51,1,39,35,move1,move1,move1,0,move1,2-3,1-3,-1,-1
52,0,39,35,swap,move1,move1,0,swap,1-4,1-3,-1,-1
53,1,40,35,move2,move1,move1,0,move2,2-3,1-3,-1,-1
54,0,40,35,move2,move1,move1,1,move1,0-2,0-1,-1,-1
55,1,41,35,move2,move1,move1,0,move2,1-3,0-2,-1,-1
56,0,41,35,move2,mobilize,move1,1,mobilize,2-3,1-3,-1,-1
57,1,42,35,move2,mobilize,move1,0,move2,0-2,0-3,-1,-1
58,0,42,35,move1,mobilize,move1,0,move1,0-1,1-0,-1,-1
59,1,43,35,capture,mobilize,move1,0,capture,0-3,0-2,-1,-1
60,0,43,40,mobilize,mobilize,move1,0,mobilize,1-1,1-2,-1,-1
61,1,44,40,swap,mobilize,move1,0,swap,0-2,1-2,2-0,2-1
62,0,44,40,mobilize,mobilize,move1,0,mobilize,1-0,1-2,-1,-1
63,1,45,40,mobilize,mobilize,move1,2,move1,1-0,2-0,-1,-1
64,0,45,40,mobilize,mobilize,swap,2,swap,1-2,0-2,-1,-1
65,1,46,40,mobilize,mobilize,move2,2,move2,2-0,1-1,-1,-1
66,0,46,40,swap,mobilize,move2,0,swap,2-0,1-0,0-2,1-2
67,1,47,40,move1,mobilize,move2,0,move1,2-1,1-2,-1,-1
68,0,47,40,move1,mobilize,move2,1,mobilize,1-0,2-0,1-3,2-3
69,1,48,40,move1,mobilize,capture,2,capture,1-1,0-2,-1,-1
70,0,48,45,move1,mobilize,move1,2,move1,2-1,2-2,-1,-1
71,1,49,45,move1,move2,move1,1,move2,1-0,1-1,1-2,2-2
72,0,49,45,move1,move2,move1,1,move2,2-0,3-1,-1,-1
73,1,50,45,move1,mobilize,move1,1,mobilize,1-1,1-2,-1,-1
74,0,50,45,move1,mobilize,move1,0,move1,2-3,3-3,-1,-1
75,1,51,45,move1,capture,move1,1,capture,1-2,1-3,0-2,0-3
76,0,51,50,move1,capture,move1,1,capture,2-1,2-2,-1,-1
77,1,56,50,move1,capture,move1,1,capture,1-3,3-3,0-3,-1
78,0,56,55,move1,swap,move1,1,swap,1-4,1-3,-1,-1
79,1,56,55,move1,mobilize,move1,1,mobilize,2-0,2-1,-1,-1
80,0,56,55,move1,mobilize,move1,1,mobilize,3-1,3-0,1-4,1-3
81,1,57,55,move1,move2,move1,1,move2,2-1,2-2,1-0,1-1
82,0,57,55,move1,move1,move1,1,move1,3-0,2-1,-1,-1
83,1,58,55,move2,move1,move1,0,move2,0-3,0-2,-1,-1
84,0,58,55,move2,capture,move1,1,capture,1-3,2-3,-1,-1
85,1,64,55,move2,capture,move1,1,capture,2-2,2-1,-1,-1
86,0,64,60,move2,swap,move1,1,swap,2-3,2-2,-1,-1
87,1,65,60,move1,swap,move1,0,move1,0-2,2-2,-1,-1
88,0,65,60,move1,move2,move1,1,move2,1-4,1-1,-1,-1
89,1,66,60,move1,capture,move1,1,capture,1-4,1-2,-1,-1
90,0,66,65,move1,mobilize,move1,1,mobilize,1-1,1-2,-1,-1
91,1,67,65,move2,mobilize,move1,0,move2,3-0,3-1,-1,-1
92,0,67,65,move1,mobilize,move1,0,move1,2-0,2-1,-1,-1
93,1,68,65,mobilize,mobilize,move1,0,mobilize,1-0,2-0,-1,-1
94,0,68,65,mobilize,mobilize,move1,2,move1,1-1,1-2,-1,-1
95,1,69,65,capture,mobilize,move1,0,capture,2-0,3-0,3-1,3-2
96,0,69,70,move1,mobilize,move1,0,move1,1-2,2-2,-1,-1
97,1,70,70,move1,move2,move1,1,move2,3-0,2-0,3-2,2-2
98,0,70,70,swap,move2,move1,0,swap,2-1,1-1,-1,-1
99,1,71,70,capture,move2,move1,0,capture,2-0,1-1,-1,-1
100,0,71,75,mobilize,move2,move1,0,mobilize,1-2,1-1,-1,-1
