turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,2-0,2-1
2,0,0,0,swap,capture,move1,2,move1,1-4,1-3,3-4,3-3
3,1,1,0,swap,capture,mobilize,2,mobilize,2-1,2-2,-1,-1
4,0,1,0,swap,capture,move2,2,move2,1-3,1-2,3-3,4-3
5,1,7,0,swap,capture,move2,1,capture,1-1,1-2,-1,-1
6,0,7,0,swap,capture,move2,2,move2,1-4,0-4,-1,-1
7,1,8,0,swap,capture,capture,2,capture,3-0,2-1,-1,-1
8,0,8,1,move1,capture,capture,0,move1,4-3,2-2,-1,-1
9,1,13,1,move1,move1,capture,1,move1,2-1,2-2,-1,-1
10,0,13,1,move2,move1,capture,0,move2,1-4,1-3,-1,-1
11,1,14,1,move1,move1,capture,0,move1,1-1,2-2,-1,-1
12,0,14,1,capture,move1,capture,0,capture,2-4,3-4,-1,-1
13,1,15,1,capture,capture,capture,1,capture,4-3,4-2,-1,-1
14,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
15,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
16,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
17,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
18,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
19,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
20,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
21,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
22,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
23,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
24,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
25,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
26,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
27,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
28,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
29,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
30,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
31,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
32,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
33,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
34,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
35,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
36,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
37,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
38,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
39,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
40,0,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
41,1,15,1,capture,capture,capture,-1,None,-1,-1,-1,-1
