turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,1,0,swap,capture,mobilize,0,swap,2-0,2-2,-1,-1
2,0,1,0,swap,capture,capture,2,capture,1-4,1-3,2-4,2-3
3,1,5,0,swap,capture,capture,1,capture,2-2,2-3,-1,-1
4,0,5,3,swap,capture,capture,1,capture,1-3,1-0,1-4,-1
5,1,6,3,mobilize,capture,capture,0,mobilize,1-0,1-3,-1,-1
6,0,6,6,mobilize,capture,capture,1,capture,1-4,1-3,-1,-1
7,1,10,6,mobilize,capture,capture,1,capture,2-0,1-0,-1,-1
8,0,10,6,capture,capture,capture,0,capture,2-4,2-3,1-4,1-3
9,1,14,6,move2,capture,capture,0,move2,2-2,2-3,-1,-1
10,0,14,6,capture,capture,capture,0,capture,3-4,2-3,-1,-1
11,1,18,6,move2,capture,capture,0,move2,2-2,2-3,-1,-1
12,0,18,6,swap,capture,capture,0,swap,1-3,2-3,-1,-1
13,1,22,6,swap,move1,capture,1,move1,2-2,2-3,-1,-1
14,0,22,6,swap,swap,capture,1,swap,1-4,1-3,-1,-1
15,1,22,6,swap,swap,capture,0,swap,2-2,1-3,-1,-1
16,0,22,6,move1,swap,capture,0,move1,2-2,2-0,-1,-1
17,1,26,6,move1,swap,capture,2,capture,3-0,2-0,-1,-1
18,0,26,9,move1,swap,move1,2,move1,1-4,1-3,-1,-1
19,1,27,9,move1,swap,move1,0,move1,1-0,2-0,-1,-1
20,0,27,9,capture,swap,move1,0,capture,2-4,2-3,-1,-1
21,1,31,9,mobilize,swap,move1,0,mobilize,2-2,2-3,-1,-1
22,0,31,9,mobilize,swap,capture,2,capture,2-4,2-3,-1,-1
23,1,35,9,mobilize,swap,move1,2,move1,2-2,2-3,-1,-1
24,0,35,9,mobilize,swap,move1,0,mobilize,1-4,1-3,3-4,3-3
25,1,36,9,move2,swap,move1,0,move2,2-0,2-1,3-0,3-1
26,0,36,9,mobilize,swap,move1,0,mobilize,1-3,2-3,-1,-1
27,1,37,9,mobilize,capture,move1,1,capture,3-1,2-3,-1,-1
28,0,37,12,mobilize,swap,move1,1,swap,3-1,2-1,-1,-1
29,1,38,12,mobilize,capture,move1,1,capture,1-0,3-1,-1,-1
30,0,38,15,mobilize,move1,move1,1,move1,3-3,2-3,-1,-1
31,1,39,15,mobilize,swap,move1,1,swap,3-1,2-1,-1,-1
32,0,39,15,mobilize,move1,move1,1,move1,2-4,2-1,-1,-1
33,1,40,15,mobilize,mobilize,move1,1,mobilize,2-4,2-3,-1,-1
34,0,40,15,move2,mobilize,move1,0,move2,1-0,1-1,2-1,3-1
35,1,41,15,move1,mobilize,move1,0,move1,2-0,2-1,-1,-1
