turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,move2,2,move2,1-0,2-1,-1,-1
2,0,0,1,move1,mobilize,move1,2,move1,2-4,2-2,-1,-1
3,1,0,1,capture,mobilize,move1,0,capture,3-0,3-1,-1,-1
4,0,0,2,capture,move1,move1,1,move1,1-4,2-4,3-4,3-3
5,1,3,2,move1,move1,move1,0,move1,2-1,2-2,-1,-1
6,0,3,2,move1,move1,move2,2,move2,3-3,4-3,-1,-1
7,1,4,2,move1,move1,move2,2,move2,3-1,2-2,-1,-1
8,0,4,2,move1,mobilize,move2,1,mobilize,4-3,4-2,-1,-1
9,1,5,2,move1,mobilize,mobilize,2,mobilize,2-0,1-1,-1,-1
10,0,5,2,move1,mobilize,move2,2,move2,1-4,1-3,4-2,4-1
11,1,6,2,move1,mobilize,mobilize,2,mobilize,1-1,2-0,-1,-1
12,0,6,2,move2,mobilize,mobilize,0,move2,1-3,1-2,-1,-1
13,1,7,2,move2,mobilize,mobilize,0,move2,2-0,1-1,-1,-1
14,0,7,2,move2,mobilize,mobilize,2,mobilize,2-4,3-4,4-1,4-2
15,1,8,2,swap,mobilize,mobilize,0,swap,2-1,3-2,-1,-1
16,0,8,2,swap,mobilize,move1,2,move1,3-4,3-3,4-2,4-1
17,1,9,2,swap,move1,move1,1,move1,3-2,3-1,1-1,2-1
18,0,9,2,swap,move1,move1,2,move1,1-2,0-2,-1,-1
19,1,9,2,mobilize,move1,move1,0,mobilize,2-2,3-3,-1,-1
20,0,9,3,move1,move1,move1,0,move1,0-2,0-1,4-1,4-2
21,1,9,3,move2,move1,move1,0,move2,3-3,3-2,-1,-1
22,0,9,3,capture,move1,move1,0,capture,2-2,1-3,-1,-1
23,1,12,3,move1,move1,move1,0,move1,3-2,4-2,-1,-1
24,0,12,3,move1,move1,move1,0,move1,0-1,1-1,-1,-1
25,1,13,3,swap,move1,move1,0,swap,3-2,2-2,-1,-1
26,0,13,3,capture,move1,move1,0,capture,1-1,2-1,-1,-1
27,1,17,3,move2,move1,move1,0,move2,3-1,2-1,-1,-1
28,0,17,3,mobilize,move1,move1,0,mobilize,1-4,0-3,-1,-1
29,1,18,3,move1,move1,move1,0,move1,3-1,3-2,1-1,2-1
30,0,18,3,move1,capture,move1,1,capture,0-3,0-4,-1,-1
31,1,22,3,move1,move2,move1,1,move2,2-2,2-4,2-1,-1
32,0,22,3,move1,mobilize,move1,1,mobilize,1-3,2-3,-1,-1
33,1,23,3,move1,mobilize,move1,0,move1,3-2,3-1,-1,-1
34,0,23,3,move1,swap,move1,1,swap,2-3,3-3,0-4,0-3
35,1,23,3,move1,move2,move1,1,move2,2-2,3-3,-1,-1
36,0,23,4,move1,move2,move1,2,move1,1-4,2-4,-1,-1
37,1,23,4,move1,move2,move1,1,move2,3-3,3-2,-1,-1
38,0,23,5,move1,move2,move1,0,move1,0-3,0-4,-1,-1
39,1,23,5,move1,move1,move1,1,move1,3-1,2-0,-1,-1
40,0,23,6,move1,move1,mobilize,2,mobilize,2-4,3-4,-1,-1
41,1,23,6,move1,move1,mobilize,2,mobilize,2-0,3-0,2-1,3-1
42,0,23,7,move1,move2,mobilize,1,move2,0-4,1-4,-1,-1
43,1,23,7,move1,swap,mobilize,1,swap,3-0,2-1,-1,-1
44,0,23,7,move1,swap,mobilize,0,move1,2-2,2-3,-1,-1
45,1,24,7,move2,swap,mobilize,0,move2,3-2,2-2,-1,-1
46,0,24,7,move1,swap,mobilize,0,move1,1-4,0-4,-1,-1
47,1,24,7,move1,move1,mobilize,1,move1,2-2,2-3,-1,-1
48,0,24,8,move1,mobilize,mobilize,1,mobilize,0-4,1-4,-1,-1
49,1,24,8,mobilize,mobilize,mobilize,0,mobilize,3-1,3-2,-1,-1
50,0,24,8,mobilize,move2,mobilize,1,move2,2-2,1-2,1-4,1-3
51,1,25,8,move2,move2,mobilize,0,move2,2-1,2-2,2-3,3-3
52,0,25,8,mobilize,move2,mobilize,0,mobilize,1-3,1-4,-1,-1
53,1,26,8,mobilize,capture,mobilize,1,capture,3-3,4-2,-1,-1
54,0,26,8,mobilize,capture,move2,2,move2,3-4,4-4,1-4,0-4
55,1,30,8,mobilize,move1,move2,1,move1,2-2,1-2,-1,-1
56,0,30,8,mobilize,move1,move2,1,move1,0-4,0-3,-1,-1
57,1,31,8,mobilize,move1,move1,2,move1,4-2,3-1,-1,-1
58,0,31,8,capture,move1,move1,0,capture,1-4,2-4,0-3,0-2
59,1,35,8,move2,move1,move1,0,move2,2-2,0-2,3-2,-1
60,0,35,8,move2,move1,move1,2,move1,1-4,0-4,-1,-1
61,1,36,8,move2,move1,move1,1,move1,3-1,2-1,-1,-1
62,0,36,8,move2,move1,move2,2,move2,0-4,0-3,-1,-1
63,1,37,8,mobilize,move1,move2,0,mobilize,3-2,2-3,-1,-1
64,0,37,8,move1,move1,move2,0,move1,2-4,1-4,0-3,0-4
65,1,38,8,move1,move1,move1,2,move1,2-3,1-2,-1,-1
66,0,38,8,move2,move1,move1,0,move2,4-4,4-3,-1,-1
67,1,39,8,move2,move1,move1,1,move1,2-1,1-1,-1,-1
68,0,39,8,move2,swap,move1,1,swap,4-3,3-3,-1,-1
69,1,40,8,move2,swap,move1,2,move1,1-1,2-1,-1,-1
70,0,40,9,move2,mobilize,move1,1,mobilize,3-3,2-2,-1,-1
