turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,swap,mobilize,move2,0,swap,1-0,2-1,-1,-1
2,0,0,1,swap,mobilize,move1,2,move1,2-4,2-2,-1,-1
3,1,0,1,swap,mobilize,move2,2,move2,3-0,3-1,-1,-1
4,0,0,2,move2,mobilize,move2,0,move2,3-4,3-1,-1,-1
5,1,0,2,mobilize,mobilize,move2,0,mobilize,3-4,3-2,-1,-1
6,0,0,3,mobilize,mobilize,move1,2,move1,1-4,1-2,-1,-1
7,1,0,3,mobilize,mobilize,mobilize,2,mobilize,2-0,3-0,-1,-1
8,0,0,4,move1,mobilize,mobilize,0,move1,1-2,1-1,3-1,4-1
9,1,0,4,move1,move1,mobilize,1,move1,3-0,2-0,3-2,3-1
10,0,0,5,move1,move1,move2,2,move2,1-1,1-2,4-1,4-2
11,1,0,5,move1,move1,move1,2,move1,3-1,3-0,-1,-1
12,0,0,6,mobilize,move1,move1,0,mobilize,4-2,3-2,-1,-1
13,1,0,6,mobilize,mobilize,move1,1,mobilize,3-0,3-1,-1,-1
14,0,0,7,move2,mobilize,move1,0,move2,1-2,1-3,3-2,3-3
15,1,0,7,move2,mobilize,move1,0,move2,2-0,3-0,-1,-1
16,0,0,8,move2,mobilize,capture,2,capture,3-3,2-3,-1,-1
17,1,3,8,move2,mobilize,swap,2,swap,2-1,2-2,-1,-1
18,0,3,9,move1,mobilize,swap,0,move1,1-3,2-2,-1,-1
19,1,3,9,move1,mobilize,swap,0,move1,3-0,2-0,-1,-1
20,0,3,10,move1,mobilize,move1,2,move1,2-3,2-1,-1,-1
21,1,3,10,move1,move1,move1,1,move1,2-3,3-3,2-0,3-0
22,0,3,11,move2,move1,move1,0,move2,1-4,1-3,-1,-1
23,1,3,11,move1,move1,move1,0,move1,3-3,3-2,-1,-1
24,0,3,12,mobilize,move1,move1,0,mobilize,1-3,1-2,-1,-1
