turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,move2,2,move2,2-0,2-2,-1,-1
2,0,1,0,move1,mobilize,move1,2,move1,1-4,2-3,-1,-1
3,1,2,0,move1,capture,move1,1,capture,1-0,1-1,3-0,3-1
4,0,2,3,move1,move1,move1,1,move1,2-3,2-2,-1,-1
5,1,2,3,move1,move1,move1,0,move1,1-1,1-2,-1,-1
6,0,2,3,move2,move1,move1,0,move2,2-3,3-3,-1,-1
7,1,3,3,move2,move1,move1,0,move2,3-1,2-2,-1,-1
8,0,3,3,mobilize,move1,move1,0,mobilize,3-3,2-3,-1,-1
9,1,4,3,mobilize,mobilize,move1,1,mobilize,1-0,1-1,-1,-1
10,0,4,3,mobilize,mobilize,move2,2,move2,3-4,3-3,-1,-1
11,1,5,3,mobilize,mobilize,mobilize,2,mobilize,1-1,2-1,-1,-1
12,0,5,3,move2,mobilize,mobilize,0,move2,2-3,1-3,2-4,1-4
13,1,6,3,move2,mobilize,mobilize,0,move2,2-1,1-1,-1,-1
14,0,6,3,move2,mobilize,mobilize,1,mobilize,1-3,2-3,1-4,2-4
15,1,7,3,swap,mobilize,mobilize,0,swap,1-1,2-1,-1,-1
16,0,7,4,move1,mobilize,mobilize,0,move1,2-4,2-2,-1,-1
17,1,7,4,move1,mobilize,mobilize,0,move1,1-2,1-1,-1,-1
18,0,7,5,move1,mobilize,mobilize,0,move1,3-3,3-2,-1,-1
19,1,7,5,mobilize,mobilize,mobilize,0,mobilize,1-1,1-0,-1,-1
20,0,7,6,move1,mobilize,mobilize,0,move1,2-3,1-3,3-2,3-3
21,1,7,6,move2,mobilize,mobilize,0,move2,1-0,1-1,-1,-1
22,0,7,7,move2,capture,mobilize,1,capture,1-3,1-2,3-3,2-3
23,1,10,7,move2,move1,mobilize,1,move1,2-4,2-3,-1,-1
24,0,10,8,move1,move1,mobilize,0,move1,1-4,2-3,-1,-1
25,1,10,8,swap,move1,mobilize,0,swap,1-1,1-0,-1,-1
