turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,move2,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,swap,move2,1,swap,2-0,2-2,-1,-1
2,0,1,0,move1,swap,move2,2,move2,2-4,1-3,-1,-1
3,1,2,0,move1,mobilize,move2,1,mobilize,1-0,1-3,-1,-1
4,0,2,0,move1,mobilize,move2,2,move2,3-4,2-4,-1,-1
5,1,3,0,move1,mobilize,move2,2,move2,3-0,2-1,-1,-1
6,0,3,0,move1,mobilize,move2,1,mobilize,1-0,1-1,2-4,2-3
7,1,4,0,mobilize,mobilize,move2,0,mobilize,1-3,1-2,-1,-1
8,0,4,0,mobilize,mobilize,move2,0,mobilize,1-1,0-1,2-3,1-3
9,1,5,0,mobilize,mobilize,move1,2,move1,1-2,1-1,-1,-1
10,0,5,0,move2,mobilize,move1,0,move2,1-4,2-4,1-3,0-3
11,1,6,0,move1,mobilize,move1,0,move1,1-1,2-0,-1,-1
12,0,6,0,move1,capture,move1,1,capture,2-4,2-3,0-1,1-1
13,1,10,0,move1,move1,move1,1,move1,2-2,2-3,-1,-1
14,0,10,0,move1,move1,swap,2,swap,1-1,1-0,-1,-1
15,1,11,0,move1,move1,capture,2,capture,2-0,1-0,-1,-1
16,0,11,0,move1,move1,capture,0,move1,1-4,1-3,-1,-1
17,1,15,0,move1,move1,mobilize,2,mobilize,1-0,2-0,-1,-1
18,0,15,0,move1,move1,mobilize,1,move1,0-3,0-2,-1,-1
19,1,16,0,move1,move1,mobilize,0,move1,1-0,2-0,-1,-1
20,0,16,0,move1,move1,move2,2,move2,1-4,2-4,0-2,0-1
21,1,17,0,move1,move1,move2,2,move2,2-0,1-1,-1,-1
22,0,17,0,move1,move1,mobilize,2,mobilize,2-4,0-4,-1,-1
23,1,18,0,move1,move1,mobilize,0,move1,1-1,1-2,-1,-1
24,0,18,0,move1,move1,mobilize,0,move1,0-1,0-0,-1,-1
25,1,19,0,move1,move1,mobilize,0,move1,2-1,1-1,-1,-1
26,0,19,0,move1,move1,mobilize,1,move1,0-4,0-3,-1,-1
27,1,20,0,move1,move1,mobilize,0,move1,1-1,2-1,-1,-1
28,0,20,0,move1,move1,swap,2,swap,1-3,1-4,0-0,1-0
29,1,21,0,move1,move1,swap,0,move1,2-1,1-1,-1,-1
30,0,21,0,move1,move1,move2,2,move2,0-3,1-2,-1,-1
31,1,22,0,move1,move1,move2,0,move1,0-3,1-3,-1,-1
32,0,22,0,move1,move1,move1,2,move1,1-0,3-0,-1,-1
33,1,23,0,move1,move1,move1,0,move1,1-3,2-3,-1,-1
