turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,swap,-1,None,-1,-1,-1,-1
1,1,0,0,move2,move1,swap,0,move2,1-0,2-1,-1,-1
2,0,0,1,move2,move1,swap,0,move2,2-4,2-2,-1,-1
3,1,0,1,swap,move1,swap,0,swap,3-0,3-1,-1,-1
4,0,0,2,mobilize,move1,swap,0,mobilize,3-4,3-1,-1,-1
5,1,0,2,mobilize,move1,swap,2,swap,3-4,3-1,-1,-1
6,0,0,3,mobilize,move1,swap,2,swap,3-4,3-1,-1,-1
7,1,0,3,mobilize,move1,swap,2,swap,3-4,3-1,-1,-1
8,0,0,4,mobilize,move1,mobilize,2,mobilize,3-4,3-1,-1,-1
9,1,0,4,mobilize,swap,mobilize,1,swap,3-4,3-3,-1,-1
10,0,0,5,mobilize,capture,mobilize,1,capture,1-4,3-3,-1,-1
11,1,3,5,mobilize,swap,mobilize,1,swap,2-1,3-1,-1,-1
12,0,3,6,mobilize,move1,mobilize,1,move1,2-4,2-1,-1,-1
13,1,3,6,move2,move1,mobilize,0,move2,2-4,2-3,1-4,1-3
14,0,3,7,capture,move1,mobilize,0,capture,3-3,3-2,-1,-1
15,1,6,7,swap,move1,mobilize,0,swap,2-0,2-1,-1,-1
16,0,6,8,capture,move1,mobilize,0,capture,1-4,2-3,-1,-1
17,1,9,8,mobilize,move1,mobilize,0,mobilize,1-3,2-3,-1,-1
18,0,9,9,move1,move1,mobilize,0,move1,3-2,3-3,2-4,2-3
19,1,9,9,move1,move1,capture,2,capture,2-0,1-0,1-3,1-2
20,0,9,13,move1,move1,move1,2,move1,2-2,1-2,-1,-1
21,1,9,13,move1,move1,move1,0,move1,2-0,3-0,-1,-1
22,0,9,14,swap,move1,move1,0,swap,3-3,3-2,-1,-1
23,1,9,14,mobilize,move1,move1,0,mobilize,1-4,2-3,-1,-1
24,0,9,15,move1,move1,move1,0,move1,3-2,3-3,1-4,1-3
25,1,9,15,move2,move1,move1,0,move2,1-0,2-0,-1,-1
