turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,swap,mobilize,move2,0,swap,1-0,2-0,-1,-1
2,0,0,0,swap,mobilize,mobilize,2,mobilize,3-4,3-3,-1,-1
3,1,0,0,swap,mobilize,mobilize,1,mobilize,2-0,2-1,3-0,3-1
4,0,0,0,swap,mobilize,mobilize,2,mobilize,1-4,0-4,3-3,3-4
5,1,1,0,swap,move2,mobilize,1,move2,2-1,2-2,3-1,3-2
6,0,1,0,swap,capture,mobilize,1,capture,3-4,4-3,-1,-1
7,1,2,0,capture,capture,mobilize,0,capture,3-2,4-3,-1,-1
8,0,2,0,capture,capture,capture,2,capture,0-4,0-3,3-2,4-2
9,1,6,0,move1,capture,capture,0,move1,4-3,4-2,-1,-1
10,0,6,0,move2,capture,capture,0,move2,0-3,0-4,-1,-1
11,1,7,0,move2,capture,capture,0,move2,4-3,3-2,-1,-1
12,0,7,0,swap,capture,capture,0,swap,0-4,1-3,-1,-1
13,1,8,0,move1,capture,capture,0,move1,3-2,1-3,-1,-1
14,0,8,0,swap,capture,capture,0,swap,3-2,3-1,-1,-1
15,1,12,0,swap,swap,capture,1,swap,1-3,1-4,-1,-1
16,0,12,0,move1,swap,capture,0,move1,1-4,1-3,-1,-1
17,1,16,0,move1,swap,capture,2,capture,1-4,1-3,-1,-1
18,0,16,1,move1,move1,capture,1,move1,3-4,2-2,-1,-1
19,1,16,1,move1,move1,capture,0,move1,3-4,2-4,-1,-1
20,0,16,1,move1,mobilize,capture,1,mobilize,2-2,1-2,-1,-1
21,1,16,1,move1,move2,capture,1,move2,2-4,2-3,1-4,1-3
22,0,16,2,move1,capture,capture,1,capture,1-2,2-2,-1,-1
23,1,19,2,move1,move1,capture,1,move1,2-3,2-2,-1,-1
24,0,19,2,move2,move1,capture,0,move2,3-1,3-2,-1,-1
25,1,22,2,move2,move1,move1,2,move1,1-3,1-4,-1,-1
26,0,22,2,move1,move1,move1,0,move1,1-4,0-4,-1,-1
27,1,23,2,swap,move1,move1,0,swap,2-3,2-2,-1,-1
28,0,23,2,swap,move1,capture,2,capture,3-2,3-1,-1,-1
29,1,24,2,swap,capture,capture,1,capture,1-3,1-2,-1,-1
30,0,24,2,move2,capture,capture,0,move2,0-4,1-2,-1,-1
31,1,28,2,move2,swap,capture,1,swap,2-2,1-2,-1,-1
32,0,28,2,move1,swap,capture,0,move1,3-1,3-2,-1,-1
33,1,32,2,move1,swap,capture,2,capture,0-4,1-4,-1,-1
34,0,32,3,move1,move1,capture,1,move1,1-4,2-2,-1,-1
35,1,32,3,move1,move1,capture,0,move1,0-4,0-3,-1,-1
36,0,32,4,capture,move1,capture,0,capture,3-2,4-2,-1,-1
37,1,32,4,capture,move2,capture,1,move2,1-4,1-3,-1,-1
38,0,32,4,capture,mobilize,capture,1,mobilize,2-2,2-4,-1,-1
39,1,32,4,capture,swap,capture,1,swap,1-3,1-2,0-3,0-2
40,0,32,4,capture,mobilize,capture,1,mobilize,2-4,1-2,-1,-1
41,1,35,4,move2,mobilize,capture,0,move2,0-2,1-2,-1,-1
42,0,35,4,mobilize,mobilize,capture,0,mobilize,4-2,4-4,-1,-1
43,1,38,4,mobilize,mobilize,capture,2,capture,2-4,1-4,-1,-1
44,0,38,4,swap,mobilize,capture,0,swap,4-4,3-4,1-4,1-3
45,1,41,4,swap,mobilize,move2,2,move2,2-4,3-4,-1,-1
46,0,41,4,swap,mobilize,move1,2,move1,1-4,0-4,-1,-1
47,1,41,4,mobilize,mobilize,move1,0,mobilize,2-4,1-3,-1,-1
