turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,swap,2,swap,1-0,1-2,-1,-1
2,0,0,0,move1,mobilize,swap,1,mobilize,1-4,1-3,3-4,3-3
3,1,1,0,move1,mobilize,swap,1,mobilize,1-2,2-2,3-0,3-1
4,0,1,1,move1,mobilize,mobilize,2,mobilize,1-3,2-2,-1,-1
5,1,1,1,move2,mobilize,mobilize,0,move2,1-3,1-2,-1,-1
6,0,1,2,capture,mobilize,mobilize,0,capture,3-3,3-2,-1,-1
7,1,4,2,capture,mobilize,mobilize,0,capture,3-1,3-2,-1,-1
8,0,4,6,capture,mobilize,mobilize,0,capture,2-2,1-2,-1,-1
9,1,4,6,capture,move1,mobilize,1,move1,1-0,1-1,3-1,3-2
10,0,4,10,move2,move1,mobilize,0,move2,2-2,3-2,-1,-1
11,1,4,10,move2,move1,mobilize,0,move2,1-1,1-2,-1,-1
12,0,4,11,swap,move1,mobilize,0,swap,1-4,2-3,-1,-1
13,1,5,11,move1,move1,mobilize,0,move1,1-0,2-2,-1,-1
14,0,5,11,move1,move1,swap,2,swap,1-0,1-1,2-3,1-3
15,1,6,11,swap,move1,swap,0,swap,1-2,0-2,-1,-1
16,0,6,11,swap,move1,swap,1,move1,1-1,1-2,-1,-1
17,1,7,11,capture,move1,swap,0,capture,0-2,1-2,-1,-1
18,0,7,14,move1,move1,swap,0,move1,0-2,1-2,-1,-1
19,1,8,14,move1,move1,move1,2,move1,1-0,1-3,-1,-1
20,0,8,14,mobilize,move1,move1,0,mobilize,0-2,1-2,-1,-1
21,1,9,14,mobilize,move2,move1,1,move2,1-3,2-3,-1,-1
22,0,9,14,mobilize,capture,move1,1,capture,1-0,1-1,-1,-1
23,1,13,14,mobilize,move1,move1,1,move1,2-2,1-2,-1,-1
24,0,13,14,move2,move1,move1,0,move2,1-4,1-3,1-1,1-2
25,1,14,14,move1,move1,move1,0,move1,2-3,3-2,-1,-1
26,0,14,14,mobilize,move1,move1,0,mobilize,1-2,1-1,-1,-1
27,1,15,14,mobilize,capture,move1,1,capture,3-2,3-1,-1,-1
28,0,15,14,mobilize,capture,move1,2,move1,1-3,1-2,-1,-1
29,1,19,14,mobilize,capture,move1,1,capture,2-2,1-2,-1,-1
30,0,19,14,move2,capture,move1,0,move2,1-4,1-3,1-1,1-2
31,1,23,14,move2,move1,move1,1,move1,2-2,1-2,-1,-1
32,0,23,14,mobilize,move1,move1,0,mobilize,1-4,2-3,-1,-1
33,1,24,14,mobilize,move2,move1,1,move2,3-1,2-1,-1,-1
34,0,24,14,mobilize,move2,move1,1,move2,1-3,2-4,-1,-1
35,1,25,14,mobilize,swap,move1,1,swap,2-1,1-2,-1,-1
36,0,25,15,mobilize,mobilize,move1,1,mobilize,2-4,2-2,-1,-1
