turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,1-2,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,3-4,2-4,-1,-1
3,1,1,0,move1,move1,mobilize,1,move1,1-2,2-2,3-0,2-0
4,0,1,0,move1,move1,move1,2,move1,1-4,1-3,2-4,3-4
5,1,2,0,capture,move1,move1,0,capture,0-0,1-0,-1,-1
6,0,2,0,capture,capture,move1,1,capture,1-3,1-2,-1,-1
7,1,6,0,mobilize,capture,move1,0,mobilize,2-2,1-2,-1,-1
8,0,6,0,capture,capture,move1,0,capture,1-4,1-3,4-4,4-3
9,1,7,0,capture,capture,swap,2,swap,4-0,3-0,-1,-1
10,0,7,0,capture,capture,move1,2,move1,1-3,1-0,-1,-1
11,1,11,0,move1,capture,move1,0,move1,2-0,1-0,-1,-1
12,0,11,0,move1,capture,capture,2,capture,4-3,4-4,-1,-1
13,1,15,0,move1,move1,capture,1,move1,1-3,1-4,-1,-1
14,0,15,0,move1,move2,capture,1,move2,3-4,3-3,-1,-1
15,1,19,0,move1,move2,capture,2,capture,1-3,1-4,-1,-1
16,0,19,0,move1,move2,capture,1,move2,3-3,2-3,-1,-1
17,1,23,0,move1,move2,swap,2,swap,1-3,1-4,-1,-1
18,0,23,0,move1,move2,mobilize,2,mobilize,0-4,1-3,-1,-1
19,1,24,0,move1,mobilize,mobilize,1,mobilize,3-0,2-1,-1,-1
20,0,24,0,move1,mobilize,move2,2,move2,1-3,1-2,1-4,2-4
21,1,25,0,move1,mobilize,move1,2,move1,0-4,1-3,-1,-1
22,0,25,0,move1,mobilize,move2,2,move2,1-2,0-2,-1,-1
23,1,26,0,swap,mobilize,move2,0,swap,1-3,1-2,-1,-1
24,0,26,0,swap,move2,move2,1,move2,0-2,0-3,2-4,3-4
25,1,27,0,swap,move2,move2,0,swap,2-0,2-3,-1,-1
26,0,27,1,move1,move2,move2,0,move1,2-0,2-2,-1,-1
27,1,27,1,swap,move2,move2,0,swap,1-2,1-1,-1,-1
28,0,27,2,swap,move2,mobilize,2,mobilize,0-3,1-3,-1,-1
29,1,28,2,move1,move2,mobilize,0,move1,2-0,2-2,-1,-1
30,0,28,2,mobilize,move2,mobilize,0,mobilize,1-3,1-4,-1,-1
31,1,29,2,mobilize,mobilize,mobilize,1,mobilize,2-1,3-1,-1,-1
32,0,29,2,mobilize,swap,mobilize,1,swap,3-4,2-4,2-0,1-0
33,1,30,2,mobilize,swap,mobilize,0,mobilize,1-1,1-2,3-1,2-1
34,0,30,2,mobilize,swap,mobilize,1,swap,2-4,2-3,-1,-1
35,1,31,2,mobilize,move1,mobilize,1,move1,2-4,2-3,-1,-1
36,0,31,2,mobilize,move1,move1,2,move1,1-4,1-3,4-4,4-3
37,1,32,2,mobilize,move1,move1,1,move1,2-1,1-1,-1,-1
38,0,32,2,move2,move1,move1,0,move2,1-3,1-4,2-4,3-4
39,1,33,2,move2,capture,move1,1,capture,2-3,1-3,-1,-1
40,0,33,2,move2,capture,move2,2,move2,1-0,2-0,-1,-1
41,1,37,2,move2,move1,move2,1,move1,1-3,1-4,-1,-1
42,0,37,2,capture,move1,move2,0,capture,4-3,4-4,-1,-1
43,1,38,2,capture,capture,move2,1,capture,1-1,2-1,-1,-1
44,0,38,2,capture,capture,move2,2,move2,3-4,2-4,-1,-1
45,1,42,2,swap,capture,move2,0,swap,2-2,2-4,2-1,-1
46,0,42,2,swap,capture,capture,2,capture,2-0,0-0,-1,-1
47,1,46,2,swap,move2,capture,1,move2,1-3,1-4,-1,-1
48,0,46,3,mobilize,move2,capture,0,mobilize,1-4,2-2,-1,-1
49,1,49,3,mobilize,move2,capture,2,capture,1-4,0-4,-1,-1
50,0,49,3,mobilize,move1,capture,1,move1,2-2,2-3,-1,-1
51,1,52,3,mobilize,move1,move1,2,move1,1-4,0-4,-1,-1
52,0,52,3,capture,move1,move1,0,capture,0-4,0-3,2-3,2-4
53,1,55,3,move1,move1,move1,0,move1,1-4,2-4,-1,-1
54,0,55,3,move1,move1,move1,0,move1,0-3,0-2,-1,-1
55,1,56,3,capture,move1,move1,0,capture,2-1,2-2,-1,-1
56,0,56,6,mobilize,move1,move1,0,mobilize,0-2,1-2,-1,-1
57,1,57,6,mobilize,move1,move1,0,mobilize,1-0,1-1,1-4,2-4
58,0,57,6,mobilize,move1,mobilize,2,mobilize,0-4,1-4,-1,-1
59,1,58,6,move1,move1,mobilize,0,move1,1-1,1-2,2-4,2-3
60,0,58,6,move1,move1,mobilize,2,mobilize,1-4,2-4,4-4,3-4
61,1,59,6,move1,move1,mobilize,0,move1,1-3,0-3,-1,-1
62,0,59,6,move2,move1,mobilize,0,move2,0-2,0-1,-1,-1
63,1,60,6,move2,move1,mobilize,1,move1,0-3,1-3,-1,-1
64,0,60,6,move2,move1,swap,2,swap,0-1,0-2,3-4,3-3
65,1,61,6,swap,move1,swap,0,swap,1-2,2-1,-1,-1
66,0,61,6,swap,move2,swap,1,move2,0-2,0-1,-1,-1
67,1,62,6,swap,move2,swap,1,move2,2-1,1-2,-1,-1
68,0,62,6,swap,move1,swap,1,move1,3-3,3-1,-1,-1
69,1,63,6,capture,move1,swap,0,capture,1-3,2-4,-1,-1
70,0,63,9,swap,move1,swap,0,swap,1-3,1-2,-1,-1
71,1,64,9,capture,move1,swap,0,capture,1-0,1-3,-1,-1
72,0,64,9,capture,move1,move2,2,move2,0-1,1-3,-1,-1
73,1,68,9,move2,move1,move2,0,move2,2-3,1-3,-1,-1
