turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,move1,2,move1,2-4,2-3,3-4,3-3
3,1,0,0,move1,mobilize,move1,0,move1,3-0,3-1,-1,-1
4,0,0,1,move1,move1,move1,1,move1,1-4,0-4,2-3,2-2
5,1,0,1,capture,move1,move1,0,capture,3-1,3-0,-1,-1
6,0,0,5,capture,move1,move1,0,capture,2-2,2-1,-1,-1
7,1,0,5,capture,mobilize,move1,1,mobilize,3-0,3-1,-1,-1
8,0,0,5,capture,capture,move1,1,capture,0-4,1-4,2-2,2-1
9,1,3,5,swap,capture,move1,0,swap,2-0,2-1,-1,-1
10,0,3,5,swap,capture,move1,2,move1,1-4,1-3,-1,-1
11,1,3,5,swap,capture,move1,2,move1,3-1,2-1,-1,-1
12,0,3,5,swap,capture,capture,2,capture,2-4,3-4,-1,-1
13,1,3,5,move1,capture,capture,0,move1,1-0,1-3,-1,-1
14,0,3,8,move1,capture,move2,2,move2,1-0,2-0,-1,-1
15,1,6,8,move1,capture,move2,1,capture,2-0,1-0,-1,-1
16,0,6,11,move1,move2,move2,1,move2,1-4,1-3,-1,-1
17,1,6,11,swap,move2,move2,0,swap,1-0,1-1,-1,-1
18,0,6,12,swap,move2,mobilize,2,mobilize,3-3,2-2,-1,-1
19,1,6,12,swap,mobilize,mobilize,1,mobilize,2-0,1-0,-1,-1
20,0,6,13,swap,mobilize,move2,2,move2,1-4,2-4,3-4,3-3
21,1,7,13,move1,mobilize,move2,0,move1,1-0,2-2,-1,-1
22,0,7,13,move2,mobilize,move2,0,move2,2-4,2-3,-1,-1
23,1,8,13,swap,mobilize,move2,0,swap,1-1,1-2,-1,-1
24,0,8,14,move2,mobilize,move2,0,move2,2-3,2-2,-1,-1
25,1,8,14,move2,swap,move2,1,swap,2-3,1-3,2-1,1-1
26,0,8,15,move1,swap,move2,0,move1,3-3,3-1,-1,-1
27,1,8,15,move1,swap,mobilize,2,mobilize,1-3,0-2,-1,-1
28,0,8,16,move1,mobilize,mobilize,1,mobilize,1-0,1-1,-1,-1
29,1,8,16,capture,mobilize,mobilize,0,capture,0-2,0-1,-1,-1
30,0,8,20,swap,mobilize,mobilize,0,swap,2-2,1-2,-1,-1
31,1,8,20,move1,mobilize,mobilize,0,move1,0-1,1-1,-1,-1
32,0,8,21,move1,mobilize,move1,2,move1,3-1,2-1,0-1,0-2
33,1,8,21,mobilize,mobilize,move1,0,mobilize,2-0,3-0,-1,-1
34,0,8,22,move2,mobilize,move1,0,move2,2-1,3-1,0-2,0-3
35,1,8,22,move1,mobilize,move1,0,move1,3-0,2-1,-1,-1
36,0,8,23,move1,mobilize,move1,1,mobilize,3-1,3-2,0-3,0-2
37,1,8,23,move2,mobilize,move1,0,move2,1-0,2-0,-1,-1
38,0,8,24,move2,move2,move1,1,move2,3-2,3-3,0-2,0-3
39,1,8,24,swap,move2,move1,0,swap,1-1,1-0,-1,-1
40,0,8,25,swap,move2,move1,1,move2,0-3,0-4,-1,-1
41,1,9,25,capture,move2,move1,0,capture,1-0,2-2,-1,-1
42,0,9,28,move1,move2,move1,0,move1,1-0,2-0,-1,-1
43,1,10,28,move1,capture,move1,1,capture,2-0,3-1,-1,-1
44,0,10,28,capture,capture,move1,0,capture,3-3,4-3,-1,-1
45,1,11,28,capture,capture,move2,2,move2,3-1,3-2,-1,-1
46,0,11,28,capture,capture,move1,2,move1,4-3,3-4,-1,-1
47,1,12,28,capture,capture,swap,2,swap,3-2,3-1,-1,-1
48,0,12,29,capture,capture,mobilize,2,mobilize,1-0,2-2,-1,-1
49,1,15,29,move1,capture,mobilize,0,move1,2-1,2-2,-1,-1
50,0,15,29,capture,capture,mobilize,0,capture,3-4,2-4,-1,-1
