turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,2-0,2-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,1-4,1-3,2-4,2-3
3,1,0,0,swap,capture,mobilize,0,swap,1-0,2-0,-1,-1
4,0,0,1,swap,capture,move1,2,move1,2-3,2-2,3-4,3-3
5,1,3,1,swap,move1,move1,1,move1,2-1,2-2,-1,-1
6,0,3,1,mobilize,move1,move1,0,mobilize,1-3,2-1,-1,-1
7,1,3,1,mobilize,move1,move1,0,mobilize,2-0,1-0,1-3,1-2
8,0,3,2,capture,move1,move1,0,capture,2-1,2-2,1-4,1-3
9,1,6,2,capture,move1,move1,0,capture,1-2,1-3,-1,-1
10,0,6,6,move2,move1,move1,0,move2,2-2,1-2,-1,-1
11,1,6,6,mobilize,move1,move1,0,mobilize,1-0,2-1,-1,-1
12,0,6,7,move2,move1,move1,0,move2,1-4,2-4,3-3,2-3
13,1,6,7,move2,move2,move1,1,move2,3-0,3-1,-1,-1
14,0,6,8,capture,move2,move1,0,capture,2-4,1-3,-1,-1
15,1,9,8,swap,move2,move1,0,swap,2-1,2-2,-1,-1
16,0,9,9,swap,move1,move1,1,move1,1-3,2-2,-1,-1
17,1,10,9,move2,move1,move1,0,move2,2-0,2-2,-1,-1
18,0,10,9,move2,move1,move1,0,move2,1-4,1-3,-1,-1
19,1,11,9,move2,capture,move1,1,capture,3-1,3-2,-1,-1
20,0,11,12,move2,move1,move1,1,move1,2-0,2-1,-1,-1
21,1,12,12,move2,move1,move1,0,move2,1-0,2-1,-1,-1
22,0,12,12,swap,move1,move1,0,swap,1-3,1-2,-1,-1
23,1,13,12,move1,move1,move1,0,move1,3-2,1-2,-1,-1
24,0,13,12,move1,move1,move1,0,move1,3-2,3-1,-1,-1
25,1,14,12,swap,move1,move1,0,swap,1-2,1-1,-1,-1
26,0,14,13,swap,move1,move1,0,swap,2-3,2-2,-1,-1
27,1,15,13,mobilize,move1,move1,0,mobilize,2-3,2-2,-1,-1
28,0,15,13,capture,move1,move1,0,capture,3-1,3-0,2-0,1-0
29,1,19,13,move2,move1,move1,0,move2,2-2,2-3,-1,-1
30,0,19,13,capture,move1,move1,0,capture,3-0,3-2,-1,-1
31,1,23,13,mobilize,move1,move1,0,mobilize,2-2,3-2,-1,-1
32,0,23,13,mobilize,move1,move1,0,mobilize,2-4,2-3,1-0,0-0
33,1,24,13,mobilize,move1,move1,1,move1,1-1,1-2,-1,-1
34,0,24,13,swap,move1,move1,0,swap,0-0,0-1,1-4,1-3
35,1,25,13,capture,move1,move1,0,capture,2-1,2-3,-1,-1
36,0,25,16,mobilize,move1,move1,0,mobilize,1-3,1-2,-1,-1
37,1,26,16,mobilize,capture,move1,1,capture,1-0,1-1,-1,-1
38,0,26,19,mobilize,move1,move1,1,move1,2-1,1-1,-1,-1
39,1,27,19,mobilize,move1,move1,1,move1,1-0,1-1,-1,-1
40,0,27,19,move2,move1,move1,0,move2,2-1,2-0,1-3,1-2
41,1,28,19,move2,capture,move1,1,capture,1-1,2-1,-1,-1
42,0,28,22,move2,move1,move1,1,move1,2-0,2-1,-1,-1
43,1,29,22,move1,move1,move1,0,move1,1-0,2-1,-1,-1
44,0,29,22,mobilize,move1,move1,0,mobilize,2-0,1-0,-1,-1
45,1,30,22,mobilize,move2,move1,1,move2,2-3,1-3,-1,-1
46,0,30,22,move2,move2,move1,0,move2,1-0,1-1,0-1,0-0
47,1,31,22,move2,move2,swap,2,swap,1-3,2-3,-1,-1
48,0,31,23,move2,move2,swap,2,swap,1-1,2-2,-1,-1
49,1,32,23,move2,move2,move2,2,move2,2-3,2-2,-1,-1
50,0,32,23,move1,move2,move2,0,move1,2-3,2-4,-1,-1
