turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,mobilize,2,mobilize,2-0,2-2,-1,-1
2,0,1,0,move1,move1,mobilize,1,move1,1-4,1-3,3-4,3-3
3,1,2,0,move1,move1,move1,2,move1,1-0,1-1,3-0,3-1
4,0,2,0,move1,move1,move1,0,move1,3-3,2-3,-1,-1
5,1,3,0,capture,move1,move1,0,capture,1-1,2-1,-1,-1
6,0,3,3,capture,move1,move1,0,capture,2-3,2-2,-1,-1
7,1,4,3,capture,mobilize,move1,1,mobilize,2-1,2-2,-1,-1
8,0,4,6,capture,mobilize,move1,0,capture,2-3,2-2,-1,-1
9,1,4,6,capture,swap,move1,1,swap,2-0,2-1,1-0,1-1
10,0,4,9,move1,swap,move1,0,move1,2-3,2-1,2-4,-1
11,1,4,9,move1,swap,move1,0,move1,1-1,1-2,-1,-1
12,0,4,9,move1,capture,move1,1,capture,2-4,1-2,-1,-1
13,1,7,9,move1,move1,move1,1,move1,2-4,2-3,-1,-1
14,0,7,10,move2,move1,move1,0,move2,1-2,2-2,-1,-1
15,1,7,10,capture,move1,move1,0,capture,1-0,1-2,-1,-1
16,0,7,14,move2,move1,move1,0,move2,1-3,1-2,-1,-1
17,1,7,14,swap,move1,move1,0,swap,1-0,1-2,-1,-1
18,0,7,15,mobilize,move1,move1,0,mobilize,1-4,1-2,-1,-1
19,1,7,15,mobilize,move1,move1,0,mobilize,1-4,0-4,2-4,2-3
20,0,7,16,mobilize,move2,move1,1,move2,1-2,1-1,-1,-1
21,1,7,16,move1,move2,move1,0,move1,0-4,0-3,3-1,3-0
22,0,7,17,move2,move2,move1,0,move2,1-1,1-2,-1,-1
23,1,7,17,swap,move2,move1,0,swap,0-3,0-2,-1,-1
24,0,7,18,move2,move2,move1,0,move2,1-3,2-3,-1,-1
25,1,7,18,swap,move2,move1,0,swap,3-0,3-2,-1,-1
26,0,7,19,move1,move2,move1,0,move1,2-3,1-3,-1,-1
27,1,7,19,move2,move2,move1,0,move2,0-2,0-1,-1,-1
28,0,7,20,move1,move2,move1,0,move1,1-3,0-2,-1,-1
29,1,7,20,capture,move2,move1,0,capture,0-1,0-0,-1,-1
30,0,7,24,swap,move2,move1,0,swap,2-2,2-3,-1,-1
31,1,8,24,mobilize,move2,move1,0,mobilize,1-0,2-2,-1,-1
32,0,8,24,mobilize,move2,capture,2,capture,1-0,1-1,-1,-1
33,1,12,24,mobilize,move2,capture,2,capture,2-2,1-2,-1,-1
34,0,12,24,swap,move2,capture,0,swap,1-1,1-2,1-4,1-3
35,1,16,24,swap,move2,move1,2,move1,2-2,1-2,-1,-1
36,0,16,25,mobilize,move2,move1,0,mobilize,1-4,2-2,-1,-1
37,1,16,25,move2,move2,move1,0,move2,0-0,0-1,1-4,0-4
38,0,16,26,move2,move2,mobilize,2,mobilize,1-3,1-2,-1,-1
39,1,16,26,capture,move2,mobilize,0,capture,0-1,0-0,-1,-1
40,0,16,30,move2,move2,mobilize,0,move2,2-2,3-2,-1,-1
41,1,16,30,mobilize,move2,mobilize,0,mobilize,1-0,2-1,-1,-1
42,0,16,31,mobilize,move2,mobilize,1,move2,0-2,1-3,-1,-1
43,1,16,31,move2,move2,mobilize,0,move2,0-0,0-1,0-4,0-3
44,0,16,32,capture,move2,mobilize,0,capture,1-3,2-3,-1,-1
45,1,19,32,swap,move2,mobilize,0,swap,2-1,2-2,-1,-1
46,0,19,33,swap,move2,move1,2,move1,1-4,2-4,1-2,2-2
47,1,20,33,mobilize,move2,move1,0,mobilize,0-1,2-2,-1,-1
48,0,20,33,mobilize,move1,move1,1,move1,0-1,1-2,-1,-1
49,1,21,33,mobilize,move1,move1,1,move1,0-3,1-3,-1,-1
50,0,21,33,mobilize,move1,move1,1,move1,2-4,1-4,-1,-1
