turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,mobilize,capture,move1,2,move1,3-4,3-3,4-4,5-4
3,1,0,0,swap,capture,move1,0,swap,3-1,2-1,4-0,3-0
4,0,0,0,move1,capture,move1,0,move1,3-3,2-1,-1,-1
5,1,3,0,move1,move1,move1,1,move1,2-0,2-1,-1,-1
6,0,3,0,move1,mobilize,move1,1,mobilize,5-4,5-3,-1,-1
7,1,3,0,move1,mobilize,move1,1,mobilize,2-0,2-1,3-0,3-1
8,0,3,2,move1,capture,move1,1,capture,3-4,4-4,5-3,5-2
9,1,3,2,capture,capture,move1,0,capture,2-1,2-2,-1,-1
10,0,3,4,capture,capture,move2,2,move2,4-4,4-3,-1,-1
11,1,6,4,mobilize,capture,move2,0,mobilize,3-3,4-3,-1,-1
12,0,6,6,move2,capture,move2,0,move2,2-4,1-4,3-4,4-4
13,1,8,6,move2,capture,move2,0,move2,2-2,1-2,-1,-1
14,0,8,8,move2,capture,capture,2,capture,4-4,5-3,-1,-1
15,1,10,8,swap,capture,capture,0,swap,3-3,2-2,-1,-1
16,0,10,12,move1,capture,capture,0,move1,1-4,1-2,-1,-1
17,1,13,12,move1,move2,capture,1,move2,2-2,1-2,-1,-1
18,0,13,17,move1,move2,move2,2,move2,2-4,1-4,-1,-1
19,1,15,17,capture,move2,move2,0,capture,2-2,1-2,-1,-1
20,0,15,19,capture,move2,move1,2,move1,2-4,0-4,-1,-1
21,1,17,19,capture,move2,move2,2,move2,2-0,2-1,-1,-1
22,0,17,21,capture,move2,swap,2,swap,0-4,0-2,-1,-1
23,1,22,21,move1,move2,swap,0,move1,1-2,0-2,-1,-1
24,0,22,25,move1,move2,move1,2,move1,2-4,1-2,-1,-1
25,1,22,25,move1,swap,move1,1,swap,2-4,2-2,-1,-1
26,0,22,29,move1,swap,capture,2,capture,5-3,4-3,-1,-1
27,1,25,29,move1,swap,mobilize,2,mobilize,2-2,1-2,-1,-1
28,0,25,31,move1,swap,move1,2,move1,2-4,3-4,4-3,5-3
29,1,27,31,move1,move1,move1,1,move1,3-1,5-2,-1,-1
30,0,27,31,move1,capture,move1,1,capture,3-4,2-4,-1,-1
31,1,32,31,move1,mobilize,move1,1,mobilize,5-2,5-3,-1,-1
32,0,32,31,move1,swap,move1,1,swap,2-4,1-4,3-4,3-3
33,1,36,31,move2,swap,move1,0,move2,2-2,1-2,-1,-1
34,0,36,33,move2,move1,move1,1,move1,3-3,1-2,-1,-1
35,1,38,33,move2,move1,move1,0,move2,2-1,2-3,-1,-1
36,0,38,35,mobilize,move1,move1,0,mobilize,3-1,1-1,-1,-1
37,1,40,35,mobilize,move1,move1,1,move1,3-3,4-3,-1,-1
38,0,40,37,mobilize,move1,swap,2,swap,1-1,2-1,-1,-1
39,1,44,37,mobilize,move1,mobilize,2,mobilize,2-3,1-2,-1,-1
40,0,44,37,swap,move1,mobilize,0,swap,1-4,1-3,2-1,2-2
41,1,48,37,move2,move1,mobilize,0,move2,4-3,2-2,-1,-1
42,0,48,37,move2,move1,mobilize,1,move1,2-3,2-4,-1,-1
43,1,52,37,move1,move1,mobilize,0,move1,2-2,1-1,-1,-1
44,0,52,37,move1,mobilize,mobilize,1,mobilize,4-3,4-4,-1,-1
45,1,56,37,move2,mobilize,mobilize,0,move2,1-1,2-1,-1,-1
46,0,56,37,capture,mobilize,mobilize,0,capture,1-3,2-2,-1,-1
47,1,63,37,move1,mobilize,mobilize,0,move1,1-2,2-2,-1,-1
48,0,63,37,move1,capture,mobilize,1,capture,3-4,3-3,2-4,1-4
49,1,67,37,move2,capture,mobilize,0,move2,2-1,1-1,-1,-1
50,0,67,37,move2,capture,move2,2,move2,1-4,2-4,4-4,3-4
