turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,2-4,2-3,3-4,3-3
3,1,0,0,swap,capture,mobilize,0,swap,2-0,3-0,-1,-1
4,0,0,0,swap,capture,move1,2,move1,2-3,2-2,3-3,3-4
5,1,0,0,swap,capture,move1,2,move1,4-0,4-1,-1,-1
6,0,0,2,swap,capture,mobilize,2,mobilize,2-2,1-2,-1,-1
7,1,2,2,mobilize,capture,mobilize,0,mobilize,3-1,1-2,-1,-1
8,0,2,5,mobilize,capture,mobilize,1,capture,3-1,4-1,-1,-1
9,1,7,5,mobilize,capture,mobilize,1,capture,3-0,3-1,-1,-1
10,0,7,5,move2,capture,mobilize,0,move2,2-4,2-3,3-4,3-3
11,1,9,5,mobilize,capture,mobilize,0,mobilize,3-0,2-1,-1,-1
12,0,9,5,move2,capture,mobilize,0,move2,2-3,2-2,3-3,3-4
13,1,14,5,move2,move2,mobilize,1,move2,2-1,2-2,-1,-1
14,0,14,5,capture,move2,mobilize,0,capture,2-4,2-2,-1,-1
15,1,19,5,swap,move2,mobilize,0,swap,2-1,2-2,-1,-1
16,0,19,7,move1,move2,mobilize,0,move1,2-4,1-2,-1,-1
17,1,19,7,move1,move2,mobilize,1,move2,2-4,2-2,-1,-1
18,0,19,9,move1,move2,mobilize,1,move2,3-4,4-3,-1,-1
19,1,19,9,move1,capture,mobilize,1,capture,2-0,3-1,-1,-1
20,0,19,14,move1,move1,mobilize,1,move1,1-2,2-2,-1,-1
21,1,19,14,move2,move1,mobilize,0,move2,2-0,1-0,-1,-1
22,0,19,18,swap,move1,mobilize,0,swap,4-3,5-2,-1,-1
23,1,21,18,move1,move1,mobilize,0,move1,3-1,1-2,-1,-1
24,0,21,20,move1,move1,move1,2,move1,3-1,4-1,4-4,4-3
25,1,23,20,swap,move1,move1,0,swap,1-0,1-1,-1,-1
26,0,23,22,swap,swap,move1,1,swap,4-1,4-2,-1,-1
27,1,25,22,mobilize,swap,move1,0,mobilize,2-1,4-2,-1,-1
28,0,25,26,mobilize,mobilize,move1,1,mobilize,2-1,1-2,-1,-1
29,1,25,26,move1,mobilize,move1,0,move1,4-2,4-1,2-1,3-1
30,0,25,30,move1,mobilize,move1,0,move1,4-3,5-3,-1,-1
31,1,25,30,swap,mobilize,move1,0,swap,1-1,2-1,-1,-1
32,0,25,34,mobilize,mobilize,move1,0,mobilize,5-3,4-1,-1,-1
33,1,25,34,move1,mobilize,move1,0,move1,5-3,4-3,2-1,2-2
34,0,25,38,move1,mobilize,move1,0,move1,4-1,4-2,-1,-1
35,1,25,38,capture,mobilize,move1,0,capture,4-3,3-3,-1,-1
36,0,25,45,mobilize,mobilize,move1,0,mobilize,1-2,2-2,-1,-1
37,1,25,45,mobilize,mobilize,capture,2,capture,2-0,2-1,-1,-1
38,0,25,47,mobilize,mobilize,capture,0,mobilize,1-2,1-3,4-2,4-3
39,1,28,47,mobilize,mobilize,move1,2,move1,3-3,4-3,-1,-1
40,0,28,51,swap,mobilize,move1,0,swap,1-3,1-2,2-4,2-3
41,1,30,51,capture,mobilize,move1,0,capture,3-3,1-2,-1,-1
42,0,30,53,capture,mobilize,move1,2,move1,2-3,1-3,-1,-1
43,1,35,53,move2,mobilize,move1,0,move2,1-2,1-3,-1,-1
44,0,35,55,move2,mobilize,capture,2,capture,3-3,2-3,-1,-1
45,1,37,55,move2,mobilize,capture,0,move2,2-1,1-1,-1,-1
46,0,37,57,move2,move2,capture,1,move2,2-3,1-3,2-4,1-4
47,1,42,57,move2,move2,move1,2,move1,1-2,1-3,-1,-1
48,0,42,59,move2,move2,move1,0,move2,2-4,1-3,-1,-1
49,1,44,59,move2,move2,move1,0,move2,3-1,2-2,-1,-1
50,0,44,61,capture,move2,move1,0,capture,1-4,0-3,-1,-1
