turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,4-0,5-0,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,2-4,2-3,4-4,4-3
3,1,0,0,move1,capture,swap,2,swap,2-0,1-0,5-0,4-0
4,0,0,0,move1,capture,swap,0,move1,3-4,3-3,-1,-1
5,1,0,0,move1,capture,swap,0,move1,1-0,1-1,-1,-1
6,0,0,0,move1,capture,mobilize,2,mobilize,4-3,4-0,-1,-1
7,1,2,0,move1,capture,mobilize,2,mobilize,1-1,1-2,3-0,2-0
8,0,2,3,move1,capture,mobilize,1,capture,3-3,4-3,-1,-1
9,1,7,3,move1,capture,mobilize,1,capture,3-0,4-0,-1,-1
10,0,7,6,move1,move2,mobilize,1,move2,2-3,2-0,2-4,-1
11,1,9,6,move1,move2,mobilize,2,mobilize,2-0,2-1,3-0,4-0
12,0,9,6,move1,move2,mobilize,1,move2,2-4,1-3,-1,-1
13,1,11,6,move1,move2,mobilize,1,move2,2-1,4-1,-1,-1
14,0,11,6,move1,capture,mobilize,1,capture,1-3,2-4,-1,-1
15,1,13,6,move1,capture,swap,2,swap,4-1,3-1,4-0,3-0
16,0,13,8,move1,capture,move1,2,move1,3-3,1-2,-1,-1
17,1,13,8,move2,capture,move1,0,move2,3-3,4-3,-1,-1
18,0,13,10,move2,capture,move1,0,move2,2-4,1-3,-1,-1
19,1,15,10,capture,capture,move1,0,capture,4-3,5-2,-1,-1
20,0,15,12,capture,capture,move1,2,move1,2-3,2-2,-1,-1
21,1,17,12,capture,capture,move2,2,move2,3-0,4-0,-1,-1
22,0,17,14,capture,capture,swap,2,swap,1-3,3-3,-1,-1
23,1,21,14,capture,capture,move1,2,move1,3-1,1-2,-1,-1
24,0,21,17,move1,capture,move1,0,move1,2-2,1-2,-1,-1
25,1,23,17,swap,capture,move1,0,swap,2-0,1-0,-1,-1
26,0,23,19,swap,capture,move1,0,swap,3-3,5-2,-1,-1
27,1,25,19,mobilize,capture,move1,0,mobilize,3-3,5-2,-1,-1
28,0,25,21,mobilize,capture,capture,2,capture,2-2,1-2,-1,-1
29,1,27,21,move1,capture,capture,0,move1,1-0,2-0,4-0,4-1
30,0,27,26,move1,move1,capture,1,move1,3-1,4-1,-1,-1
31,1,29,26,move1,mobilize,capture,1,mobilize,2-0,1-0,-1,-1
32,0,29,31,move1,mobilize,move1,2,move1,3-1,3-0,-1,-1
33,1,31,31,move1,mobilize,move1,0,move1,2-0,2-1,-1,-1
34,0,31,33,move1,swap,move1,1,swap,3-1,4-1,3-3,4-3
35,1,35,33,move1,mobilize,move1,1,mobilize,1-0,1-2,-1,-1
36,0,35,33,move1,move2,move1,1,move2,1-0,1-1,4-1,4-2
37,1,39,33,move1,capture,move1,1,capture,2-1,2-2,-1,-1
38,0,39,36,move1,capture,move1,1,capture,1-1,1-2,-1,-1
39,1,44,36,move1,mobilize,move1,1,mobilize,5-2,4-2,-1,-1
40,0,44,38,move1,swap,move1,1,swap,1-1,1-2,2-4,2-3
41,1,48,38,move1,move1,move1,1,move1,2-0,1-2,-1,-1
42,0,48,38,move1,move1,move1,0,move1,4-3,3-3,-1,-1
43,1,52,38,move1,move2,move1,1,move2,2-2,2-1,-1,-1
44,0,52,38,move1,capture,move1,1,capture,2-0,3-1,-1,-1
45,1,59,38,move1,move2,move1,1,move2,2-1,3-1,-1,-1
46,0,59,38,move1,move2,move1,1,move2,2-4,1-3,-1,-1
47,1,63,38,swap,move2,move1,0,swap,2-1,1-1,-1,-1
48,0,63,40,move1,move2,move1,0,move1,3-3,1-2,-1,-1
49,1,65,40,move1,move2,move1,1,move2,1-1,3-1,-1,-1
50,0,65,42,move2,move2,move1,0,move2,2-3,2-2,-1,-1
