turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,2-2,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,2-4,2-3,-1,-1
3,1,2,0,move1,mobilize,move1,2,move1,2-2,1-2,3-0,3-1
4,0,2,0,move1,mobilize,move1,0,move1,2-3,2-2,-1,-1
5,1,4,0,capture,mobilize,move1,0,capture,4-0,5-0,-1,-1
6,0,4,3,capture,mobilize,move1,0,capture,2-2,1-2,-1,-1
7,1,4,3,capture,mobilize,move1,1,mobilize,3-1,4-1,5-0,5-1
8,0,4,5,capture,mobilize,capture,2,capture,2-2,1-2,-1,-1
9,1,4,5,capture,swap,capture,1,swap,4-1,4-0,5-1,5-0
10,0,4,5,capture,move1,capture,1,move1,1-2,2-0,-1,-1
11,1,9,5,capture,move1,move1,2,move1,4-0,2-0,5-0,-1
12,0,9,5,capture,capture,move1,1,capture,2-4,2-3,-1,-1
13,1,11,5,capture,capture,move1,2,move1,5-0,6-0,-1,-1
14,0,11,5,capture,capture,move2,2,move2,2-3,2-2,-1,-1
15,1,16,5,capture,capture,move2,1,capture,1-2,2-2,-1,-1
16,0,16,5,capture,capture,move2,2,move2,2-4,2-2,-1,-1
17,1,21,5,swap,capture,move2,0,swap,1-2,2-2,-1,-1
18,0,21,7,mobilize,capture,move2,0,mobilize,2-4,1-2,-1,-1
19,1,24,7,mobilize,mobilize,move2,1,mobilize,2-4,3-4,-1,-1
20,0,24,9,mobilize,mobilize,move2,2,move2,3-4,4-3,-1,-1
21,1,24,9,mobilize,mobilize,move1,2,move1,4-0,4-2,-1,-1
22,0,24,11,mobilize,mobilize,move2,2,move2,4-3,5-3,-1,-1
23,1,26,11,swap,mobilize,move2,0,swap,4-2,5-2,6-0,5-0
24,0,26,15,move2,mobilize,move2,0,move2,4-4,5-2,-1,-1
25,1,26,15,move2,swap,move2,1,swap,2-4,2-3,5-0,6-0
26,0,26,19,move1,swap,move2,0,move1,5-3,4-2,-1,-1
27,1,28,19,move1,mobilize,move2,1,mobilize,2-3,1-2,-1,-1
28,0,28,21,move1,mobilize,move1,2,move1,2-3,4-3,-1,-1
29,1,30,21,move1,capture,move1,1,capture,4-4,5-4,6-0,5-0
30,0,30,23,swap,capture,move1,0,swap,4-3,5-3,-1,-1
31,1,34,23,mobilize,capture,move1,0,mobilize,5-4,5-2,-1,-1
32,0,34,26,mobilize,swap,move1,1,swap,5-3,5-2,-1,-1
33,1,36,26,move1,swap,move1,0,move1,2-0,2-1,5-0,4-0
34,0,36,28,move2,swap,move1,0,move2,5-3,5-2,-1,-1
35,1,40,28,move2,move1,move1,1,move1,4-0,5-2,-1,-1
36,0,40,28,move1,move1,move1,0,move1,4-0,4-1,-1,-1
37,1,44,28,move1,mobilize,move1,1,mobilize,2-1,1-1,-1,-1
38,0,44,28,capture,mobilize,move1,0,capture,4-1,4-0,-1,-1
39,1,51,28,move1,mobilize,move1,0,move1,5-2,4-2,-1,-1
40,0,51,28,move2,mobilize,move1,0,move2,5-4,5-3,-1,-1
41,1,55,28,mobilize,mobilize,move1,0,mobilize,1-1,0-2,-1,-1
42,0,55,28,capture,mobilize,move1,0,capture,4-0,4-1,2-4,2-3
43,1,62,28,capture,mobilize,move1,0,capture,5-2,5-3,-1,-1
44,0,62,28,capture,move2,move1,1,move2,4-1,4-0,2-3,2-2
45,1,69,28,swap,move2,move1,0,swap,1-2,2-2,0-2,-1
46,0,69,30,mobilize,move2,move1,0,mobilize,4-0,5-2,-1,-1
47,1,71,30,mobilize,move2,move1,1,move2,0-2,1-3,-1,-1
48,0,71,32,move2,move2,move1,0,move2,3-4,3-3,2-4,2-3
49,1,73,32,move2,capture,move1,1,capture,4-0,6-0,-1,-1
50,0,73,37,move2,move1,move1,1,move1,2-3,1-3,-1,-1
