turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move2,-1,None,-1,-1,-1,-1
1,1,1,0,mobilize,swap,move2,2,move2,2-0,2-2,-1,-1
2,0,1,0,mobilize,swap,mobilize,2,mobilize,1-4,2-3,-1,-1
3,1,2,0,move1,swap,mobilize,0,move1,1-0,1-1,3-0,2-0
4,0,2,1,move1,move1,mobilize,1,move1,3-4,2-2,-1,-1
5,1,2,1,move1,swap,mobilize,1,swap,1-1,0-1,-1,-1
6,0,2,2,mobilize,swap,mobilize,0,mobilize,2-3,3-3,-1,-1
7,1,3,2,mobilize,move2,mobilize,1,move2,3-4,2-2,-1,-1
8,0,3,2,mobilize,move1,mobilize,1,move1,2-4,2-3,-1,-1
9,1,4,2,mobilize,move2,mobilize,1,move2,2-0,2-1,-1,-1
10,0,4,2,mobilize,move2,mobilize,1,move2,3-4,2-4,-1,-1
11,1,5,2,mobilize,move1,mobilize,1,move1,2-1,1-2,-1,-1
12,0,5,2,mobilize,move1,mobilize,1,move1,2-4,3-4,-1,-1
13,1,6,2,mobilize,move1,mobilize,2,mobilize,0-1,1-1,1-2,0-2
14,0,6,2,mobilize,move1,mobilize,1,move1,3-4,2-4,-1,-1
15,1,7,2,move2,move1,mobilize,0,move2,1-1,1-0,0-2,1-2
16,0,7,2,mobilize,move1,mobilize,0,mobilize,2-4,3-4,-1,-1
17,1,8,2,move2,move1,mobilize,0,move2,1-0,1-1,1-2,1-3
18,0,8,2,move2,move1,mobilize,0,move2,3-4,4-3,-1,-1
19,1,9,2,move2,move1,mobilize,1,move1,1-1,1-2,-1,-1
20,0,9,2,move1,move1,mobilize,0,move1,4-3,3-4,-1,-1
21,1,10,2,move1,move1,move1,2,move1,1-2,0-2,1-3,0-3
22,0,10,2,capture,move1,move1,0,capture,3-4,2-4,-1,-1
23,1,14,2,capture,move1,move1,0,capture,2-2,2-3,-1,-1
24,0,14,2,capture,mobilize,move1,1,mobilize,3-3,2-3,-1,-1
25,1,18,2,move1,mobilize,move1,0,move1,2-2,2-3,-1,-1
26,0,18,2,move1,move1,move1,1,move1,1-4,1-3,2-4,2-3
27,1,19,2,move1,move1,move2,2,move2,0-2,1-2,-1,-1
28,0,19,2,move2,move1,move2,0,move2,3-4,3-3,-1,-1
29,1,20,2,move2,capture,move2,1,capture,0-3,0-4,-1,-1
30,0,20,5,move2,mobilize,move2,1,mobilize,1-3,1-2,-1,-1
31,1,21,5,mobilize,mobilize,move2,0,mobilize,0-4,0-3,-1,-1
32,0,21,5,mobilize,mobilize,move2,2,move2,3-3,2-4,-1,-1
33,1,22,5,mobilize,mobilize,move1,2,move1,0-3,0-1,-1,-1
34,0,22,5,mobilize,mobilize,move2,2,move2,2-4,1-4,-1,-1
35,1,23,5,mobilize,move1,move2,1,move1,1-0,2-0,0-1,0-2
36,0,23,5,mobilize,swap,move2,1,swap,1-4,2-4,-1,-1
37,1,24,5,mobilize,move1,move2,1,move1,0-2,2-3,-1,-1
38,0,24,5,move1,move1,move2,0,move1,2-4,1-4,0-2,0-3
39,1,25,5,move1,move2,move2,1,move2,2-0,2-1,-1,-1
40,0,25,5,move1,move1,move2,1,move1,0-3,1-2,-1,-1
41,1,26,5,move2,move1,move2,0,move2,2-1,2-0,-1,-1
42,0,26,5,mobilize,move1,move2,0,mobilize,1-2,0-3,-1,-1
43,1,27,5,mobilize,move1,move1,2,move1,2-0,0-0,-1,-1
44,0,27,5,mobilize,move1,move1,1,move1,1-4,0-4,-1,-1
45,1,28,5,swap,move1,move1,0,swap,0-0,1-0,2-3,3-3
46,0,28,5,swap,mobilize,move1,1,mobilize,0-4,1-4,-1,-1
47,1,29,5,capture,mobilize,move1,0,capture,1-0,1-3,-1,-1
48,0,29,8,move2,mobilize,move1,0,move2,1-4,1-3,-1,-1
49,1,30,8,move2,mobilize,move1,1,mobilize,2-0,2-1,3-3,3-2
50,0,30,8,move2,mobilize,move1,1,mobilize,1-4,1-3,1-0,1-1
