turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,capture,2,capture,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,capture,0,move1,1-4,1-3,-1,-1
3,1,3,0,move1,mobilize,move1,2,move1,2-1,2-4,2-0,-1
4,0,3,0,move1,mobilize,move2,2,move2,1-3,1-2,-1,-1
5,1,3,0,move1,mobilize,swap,2,swap,3-0,3-1,-1,-1
6,0,3,0,swap,mobilize,swap,0,swap,3-4,3-3,-1,-1
7,1,4,0,swap,capture,swap,1,capture,2-1,2-2,3-1,3-2
8,0,4,3,swap,swap,swap,1,swap,3-3,3-2,-1,-1
9,1,5,3,swap,swap,swap,0,swap,1-0,1-2,-1,-1
10,0,5,4,swap,swap,move1,2,move1,1-4,2-2,-1,-1
11,1,6,4,move1,swap,move1,0,move1,1-4,2-2,-1,-1
12,0,6,5,move1,swap,move1,1,swap,1-0,2-2,-1,-1
13,1,6,5,move1,swap,move2,2,move2,1-2,1-1,-1,-1
14,0,6,6,mobilize,swap,move2,0,mobilize,3-3,2-3,-1,-1
15,1,6,6,mobilize,swap,swap,2,swap,2-0,2-1,-1,-1
16,0,6,7,move2,swap,swap,0,move2,1-4,1-3,2-3,2-4
17,1,7,7,move2,swap,swap,1,swap,1-0,2-2,-1,-1
18,0,7,8,move2,swap,capture,2,capture,2-4,2-2,-1,-1
19,1,10,8,move2,swap,capture,2,capture,2-1,2-2,-1,-1
20,0,10,11,move2,swap,move2,2,move2,1-4,2-4,-1,-1
21,1,11,11,move1,swap,move2,0,move1,1-1,2-2,-1,-1
22,0,11,12,move1,mobilize,move2,1,mobilize,1-4,2-2,-1,-1
23,1,11,12,move1,mobilize,swap,2,swap,1-4,2-3,-1,-1
24,0,11,13,move1,mobilize,mobilize,2,mobilize,1-3,2-1,-1,-1
25,1,11,13,swap,mobilize,mobilize,0,swap,2-0,3-0,-1,-1
26,0,11,14,swap,move2,mobilize,1,move2,1-0,0-0,2-1,1-1
27,1,12,14,move1,move2,mobilize,0,move1,3-0,2-2,-1,-1
28,0,12,14,move1,move1,mobilize,1,move1,3-0,3-2,-1,-1
29,1,13,14,move1,move1,mobilize,0,move1,1-3,1-2,-1,-1
30,0,13,14,swap,move1,mobilize,0,swap,3-2,4-2,-1,-1
31,1,14,14,capture,move1,mobilize,0,capture,2-3,1-1,-1,-1
32,0,14,17,swap,move1,mobilize,0,swap,2-3,2-2,-1,-1
33,1,15,17,swap,capture,mobilize,1,capture,1-2,2-2,-1,-1
34,0,15,18,mobilize,capture,mobilize,0,mobilize,4-2,2-2,-1,-1
35,1,18,18,mobilize,swap,mobilize,1,swap,1-0,0-0,-1,-1
36,0,18,19,mobilize,swap,move1,2,move1,1-4,0-4,2-3,3-3
37,1,19,19,mobilize,move2,move1,1,move2,1-0,2-2,-1,-1
38,0,19,19,mobilize,move2,capture,2,capture,3-3,3-2,-1,-1
39,1,23,19,mobilize,move2,move1,2,move1,2-2,3-2,-1,-1
40,0,23,19,mobilize,move2,move1,1,move2,1-4,1-3,-1,-1
41,1,24,19,swap,move2,move1,0,swap,4-2,3-2,1-1,2-1
42,0,24,20,swap,move2,move1,0,swap,1-3,2-2,-1,-1
43,1,24,20,swap,move2,move1,1,move2,2-1,1-2,-1,-1
44,0,24,21,mobilize,move2,move1,0,mobilize,0-4,1-3,-1,-1
45,1,24,21,mobilize,swap,move1,1,swap,0-4,0-2,-1,-1
46,0,24,22,mobilize,swap,move1,0,mobilize,1-3,1-4,1-0,1-1
47,1,25,22,mobilize,move2,move1,1,move2,3-2,2-2,-1,-1
48,0,25,22,mobilize,capture,move1,1,capture,3-2,4-2,-1,-1
49,1,29,22,mobilize,swap,move1,1,swap,1-2,1-1,-1,-1
50,0,29,22,mobilize,move1,move1,1,move1,4-2,1-2,-1,-1
