turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,capture,2,capture,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,capture,0,move1,2-4,2-3,-1,-1
3,1,3,0,move1,mobilize,move1,2,move1,2-1,2-3,2-0,-1
4,0,3,0,move2,mobilize,move1,0,move2,2-4,2-3,-1,-1
5,1,4,0,move2,swap,move1,1,swap,2-1,2-2,3-0,3-1
6,0,4,1,move2,swap,move1,1,swap,1-4,2-2,-1,-1
7,1,4,1,move2,swap,capture,2,capture,2-0,3-0,-1,-1
8,0,4,2,swap,swap,capture,0,swap,3-4,2-4,-1,-1
9,1,7,2,swap,swap,swap,2,swap,1-4,2-4,-1,-1
10,0,7,3,move1,swap,swap,0,move1,2-4,1-4,-1,-1
11,1,8,3,move1,move1,swap,1,move1,3-0,2-2,-1,-1
12,0,8,4,move1,move1,swap,2,swap,3-0,2-2,-1,-1
13,1,9,4,move1,move1,move2,2,move2,3-0,2-2,-1,-1
14,0,9,4,mobilize,move1,move2,0,mobilize,3-0,2-0,-1,-1
15,1,10,4,mobilize,swap,move2,1,swap,3-1,2-1,-1,-1
16,0,10,5,mobilize,move2,move2,1,move2,1-4,2-2,-1,-1
17,1,10,5,swap,move2,move2,0,swap,1-4,1-3,2-1,1-1
18,0,10,6,swap,capture,move2,1,capture,2-0,2-1,-1,-1
19,1,13,6,swap,capture,move2,1,capture,2-4,2-3,-1,-1
20,0,13,10,swap,move2,move2,1,move2,2-1,1-1,-1,-1
21,1,13,10,swap,move1,move2,1,move1,1-0,1-2,-1,-1
22,0,13,11,mobilize,move1,move2,0,mobilize,2-1,1-3,-1,-1
23,1,13,11,mobilize,swap,move2,1,swap,2-4,2-3,-1,-1
24,0,13,12,mobilize,mobilize,move2,1,mobilize,1-4,2-3,-1,-1
25,1,13,12,mobilize,mobilize,swap,2,swap,2-1,1-1,-1,-1
26,0,13,13,mobilize,mobilize,mobilize,2,mobilize,2-3,1-2,-1,-1
27,1,13,13,move2,mobilize,mobilize,0,move2,1-4,2-4,1-1,2-1
28,0,13,14,move1,mobilize,mobilize,0,move1,1-3,0-2,-1,-1
29,1,13,14,move1,swap,mobilize,1,swap,2-4,1-4,2-3,1-3
30,0,13,15,move1,swap,mobilize,1,swap,0-2,1-3,-1,-1
31,1,13,15,move1,capture,mobilize,1,capture,1-4,1-2,-1,-1
32,0,13,19,move1,swap,mobilize,1,swap,1-3,1-2,-1,-1
33,1,13,19,move1,swap,move2,2,move2,2-1,1-1,0-2,1-2
34,0,13,20,move1,swap,move2,1,swap,1-4,1-2,-1,-1
35,1,13,20,move1,swap,move2,1,swap,1-4,1-2,-1,-1
36,0,13,21,move1,move1,move2,1,move1,1-4,1-2,-1,-1
37,1,13,21,move1,move1,move2,0,move1,1-4,2-4,-1,-1
38,0,13,22,capture,move1,move2,0,capture,1-3,2-3,-1,-1
39,1,16,22,swap,move1,move2,0,swap,2-4,2-3,-1,-1
40,0,16,23,move2,move1,move2,0,move2,1-4,1-1,-1,-1
41,1,16,23,capture,move1,move2,0,capture,1-4,2-3,-1,-1
42,0,16,27,mobilize,move1,move2,0,mobilize,2-2,2-3,-1,-1
43,1,16,27,mobilize,move1,move1,2,move1,2-4,3-3,-1,-1
44,0,16,28,mobilize,swap,move1,1,swap,1-1,2-1,-1,-1
45,1,16,28,mobilize,move2,move1,1,move2,3-3,2-1,-1,-1
46,0,16,29,mobilize,move2,move1,2,move1,3-3,2-3,-1,-1
47,1,16,29,mobilize,move2,move2,2,move2,2-1,1-1,-1,-1
48,0,16,30,mobilize,capture,move2,1,capture,1-2,1-3,-1,-1
49,1,19,30,mobilize,swap,move2,1,swap,1-1,1-3,1-0,-1
50,0,19,31,mobilize,move1,move2,1,move1,1-4,1-1,-1,-1
