turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,capture,0,capture,2-0,2-1,-1,-1
2,0,0,0,capture,move1,capture,1,move1,2-4,2-1,-1,-1
3,1,3,0,capture,move1,swap,2,swap,2-4,3-4,-1,-1
4,0,3,3,move1,move1,swap,0,move1,1-4,2-4,-1,-1
5,1,3,3,move1,move1,move2,2,move2,2-0,2-1,-1,-1
6,0,3,3,move1,move1,mobilize,2,mobilize,1-4,1-2,-1,-1
7,1,4,3,move1,move1,capture,2,capture,1-0,0-0,2-1,2-2
8,0,4,6,move1,move1,swap,2,swap,2-0,3-0,-1,-1
9,1,5,6,move1,move1,swap,2,swap,0-0,1-2,-1,-1
10,0,5,7,move1,move1,mobilize,2,mobilize,3-4,2-2,-1,-1
11,1,5,7,move1,move1,capture,2,capture,1-2,1-3,1-0,1-1
12,0,5,8,move2,move1,capture,0,move2,0-0,1-0,-1,-1
13,1,8,8,move2,move1,mobilize,2,mobilize,1-1,1-0,-1,-1
14,0,8,9,move2,move1,swap,2,swap,1-4,2-4,2-0,2-1
15,1,9,9,move2,move1,swap,2,swap,1-3,2-2,-1,-1
16,0,9,10,move2,move1,move2,2,move2,2-4,2-2,-1,-1
17,1,9,10,move2,move1,move2,2,move2,1-1,1-0,-1,-1
18,0,9,11,move2,move2,move2,1,move2,1-3,2-3,-1,-1
19,1,9,11,move2,move2,swap,2,swap,2-4,1-3,-1,-1
20,0,9,12,move1,move2,swap,0,move1,2-1,1-2,-1,-1
21,1,10,12,move1,move2,mobilize,2,mobilize,1-0,2-2,-1,-1
22,0,10,12,swap,move2,mobilize,0,swap,1-0,1-1,-1,-1
23,1,11,12,swap,move1,mobilize,1,move1,3-4,3-2,-1,-1
24,0,11,13,move1,move1,mobilize,0,move1,1-1,2-2,-1,-1
25,1,11,13,swap,move1,mobilize,0,swap,1-1,0-1,-1,-1
26,0,11,14,move2,move1,mobilize,0,move2,2-3,1-3,-1,-1
27,1,11,14,swap,move1,mobilize,0,swap,0-1,2-1,-1,-1
28,0,11,15,swap,move1,mobilize,0,swap,1-3,2-3,-1,-1
29,1,12,15,swap,move1,mobilize,0,swap,1-3,2-2,-1,-1
30,0,12,16,swap,move1,mobilize,0,swap,1-3,2-2,-1,-1
31,1,12,16,swap,move1,mobilize,2,mobilize,3-2,4-2,2-1,1-1
32,0,12,17,capture,move1,mobilize,0,capture,2-3,1-3,-1,-1
33,1,15,17,move1,move1,mobilize,0,move1,1-1,1-2,-1,-1
34,0,15,18,move1,move1,swap,2,swap,1-4,2-4,1-3,1-2
35,1,16,18,move1,move1,swap,2,swap,2-3,2-2,-1,-1
36,0,16,19,move1,move1,move1,2,move1,2-4,2-2,-1,-1
37,1,16,19,move1,swap,move1,1,swap,1-1,0-1,-1,-1
38,0,16,20,swap,swap,move1,0,swap,2-3,1-3,-1,-1
39,1,17,20,swap,capture,move1,1,capture,2-4,2-2,-1,-1
40,0,17,23,swap,swap,move1,1,swap,1-2,2-2,-1,-1
41,1,17,23,swap,swap,move2,2,move2,0-1,1-1,-1,-1
42,0,17,24,swap,swap,move1,2,move1,2-4,2-2,-1,-1
43,1,18,24,move2,swap,move1,0,move2,4-2,2-2,-1,-1
44,0,18,25,move2,capture,move1,1,capture,4-2,2-2,-1,-1
45,1,21,25,move2,move1,move1,1,move1,1-1,1-2,-1,-1
46,0,21,26,move1,move1,move1,0,move1,1-4,2-3,-1,-1
47,1,21,26,move2,move1,move1,0,move2,4-2,3-2,-1,-1
48,0,21,27,move2,move1,move1,0,move2,1-3,1-2,-1,-1
49,1,21,27,mobilize,move1,move1,0,mobilize,3-2,2-1,-1,-1
50,0,21,28,mobilize,capture,move1,1,capture,1-2,1-3,-1,-1
