turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-0,2-0,3-0,4-0
2,0,0,0,move1,capture,mobilize,0,move1,1-4,1-3,-1,-1
3,1,0,0,swap,capture,mobilize,0,swap,2-0,3-0,-1,-1
4,0,0,0,swap,capture,move1,2,move1,1-3,1-2,3-4,3-3
5,1,0,0,swap,capture,move1,2,move1,3-0,3-1,-1,-1
6,0,0,1,swap,capture,mobilize,2,mobilize,1-2,2-2,-1,-1
7,1,1,1,mobilize,capture,mobilize,0,mobilize,3-1,2-2,-1,-1
8,0,1,1,capture,capture,mobilize,0,capture,3-1,3-0,3-3,3-2
9,1,5,1,capture,capture,mobilize,0,capture,4-0,3-0,-1,-1
10,0,5,4,move2,capture,mobilize,0,move2,3-2,2-2,-1,-1
11,1,5,4,mobilize,capture,mobilize,0,mobilize,4-0,4-1,-1,-1
12,0,5,5,move2,capture,mobilize,0,move2,1-4,1-3,3-2,2-2
13,1,5,5,move2,capture,mobilize,0,move2,1-0,0-0,-1,-1
14,0,5,6,capture,capture,mobilize,0,capture,1-3,1-2,-1,-1
15,1,5,6,capture,capture,swap,2,swap,0-0,0-1,4-1,4-2
16,0,5,10,move1,capture,swap,0,move1,2-2,4-2,1-2,-1
17,1,6,10,move1,capture,move2,2,move2,0-1,2-2,-1,-1
18,0,6,13,move1,move2,move2,1,move2,1-2,2-2,-1,-1
19,1,6,13,move1,capture,move2,1,capture,1-0,0-0,-1,-1
20,0,6,16,move1,move1,move2,1,move1,0-1,0-0,-1,-1
21,1,6,16,move2,move1,move2,0,move2,1-0,1-1,-1,-1
22,0,6,17,move2,swap,move2,1,swap,1-2,2-2,-1,-1
23,1,7,17,move2,move1,move2,1,move1,3-0,2-2,-1,-1
24,0,7,17,move1,move1,move2,0,move1,3-0,3-2,-1,-1
25,1,8,17,move1,move1,swap,2,swap,1-1,1-2,-1,-1
26,0,8,18,move1,move1,swap,2,swap,0-1,2-2,-1,-1
27,1,8,18,move1,move1,swap,0,move1,0-1,0-2,-1,-1
28,0,8,19,move1,move1,capture,2,capture,3-2,1-2,-1,-1
29,1,11,19,move1,move1,move1,2,move1,3-2,2-2,-1,-1
30,0,11,20,move1,move1,move1,0,move1,1-2,2-2,-1,-1
31,1,11,20,swap,move1,move1,0,swap,3-2,3-1,-1,-1
32,0,11,21,swap,mobilize,move1,1,mobilize,1-4,1-3,-1,-1
33,1,11,21,swap,move2,move1,1,move2,0-2,1-2,3-1,4-1
34,0,11,22,swap,move2,move1,0,swap,1-3,1-2,-1,-1
35,1,11,22,swap,move2,mobilize,2,mobilize,4-1,4-2,-1,-1
36,0,11,23,swap,mobilize,mobilize,1,mobilize,1-2,2-1,-1,-1
37,1,11,23,swap,capture,mobilize,1,capture,1-3,1-2,4-2,3-2
38,0,11,27,swap,move2,mobilize,1,move2,2-2,1-2,-1,-1
39,1,11,27,swap,move1,mobilize,1,move1,3-2,4-1,-1,-1
40,0,11,28,swap,capture,mobilize,1,capture,2-1,1-1,-1,-1
41,1,14,28,swap,capture,mobilize,1,capture,1-0,1-1,-1,-1
42,0,14,28,swap,capture,mobilize,2,mobilize,2-2,2-1,1-4,1-3
43,1,14,28,swap,capture,move2,2,move2,1-0,0-0,4-1,4-2
44,0,14,29,swap,capture,mobilize,2,mobilize,1-3,2-2,-1,-1
45,1,14,29,swap,capture,move1,2,move1,0-0,1-0,4-2,4-3
46,0,14,30,swap,capture,capture,2,capture,2-1,2-0,-1,-1
47,1,17,30,swap,capture,move1,2,move1,1-0,2-0,-1,-1
48,0,17,31,swap,capture,swap,2,swap,1-4,1-3,-1,-1
49,1,18,31,swap,capture,move2,2,move2,1-0,2-2,-1,-1
50,0,18,32,move2,capture,move2,0,move2,1-0,2-2,-1,-1
