turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,1-2,-1,-1
2,0,0,0,capture,swap,capture,2,capture,3-4,2-4,-1,-1
3,1,0,0,capture,move1,capture,1,move1,1-2,2-4,-1,-1
4,0,0,3,move1,move1,capture,0,move1,1-4,2-4,-1,-1
5,1,0,3,swap,move1,capture,0,swap,1-0,1-1,-1,-1
6,0,0,6,swap,move1,capture,2,capture,1-2,1-1,-1,-1
7,1,0,6,move2,move1,capture,0,move2,1-0,1-2,-1,-1
8,0,0,6,move2,move1,capture,0,move2,1-4,2-3,-1,-1
9,1,1,6,move2,mobilize,capture,1,mobilize,1-2,2-2,-1,-1
10,0,1,9,move2,mobilize,mobilize,2,mobilize,2-3,2-2,-1,-1
11,1,1,9,move1,mobilize,mobilize,0,move1,3-0,3-2,-1,-1
12,0,1,10,move1,move1,mobilize,1,move1,2-3,2-2,1-0,1-1
13,1,1,10,capture,move1,mobilize,0,capture,0-0,0-1,-1,-1
14,0,1,14,move1,move1,mobilize,0,move1,2-2,3-2,-1,-1
15,1,1,14,move2,move1,mobilize,0,move2,0-1,0-2,-1,-1
16,0,1,14,move2,move1,capture,2,capture,2-2,3-2,1-1,0-1
17,1,4,14,move2,move1,mobilize,2,mobilize,0-2,0-1,-1,-1
18,0,4,15,move2,move1,mobilize,2,mobilize,3-2,2-2,1-4,0-4
19,1,4,15,move1,move1,mobilize,0,move1,0-2,1-2,-1,-1
20,0,4,16,move2,move1,mobilize,0,move2,0-4,0-3,-1,-1
21,1,4,16,move1,move1,mobilize,0,move1,1-2,2-1,-1,-1
22,0,4,17,swap,move1,mobilize,0,swap,0-3,0-2,-1,-1
23,1,5,17,swap,move1,mobilize,0,swap,1-0,2-2,-1,-1
24,0,5,18,mobilize,move1,mobilize,0,mobilize,1-0,2-2,-1,-1
25,1,5,18,mobilize,move1,mobilize,1,move1,1-0,1-1,-1,-1
26,0,5,19,mobilize,move1,mobilize,1,move1,0-2,0-3,-1,-1
27,1,5,19,capture,move1,mobilize,0,capture,2-1,2-0,1-1,1-2
28,0,5,23,move2,move1,mobilize,0,move2,2-2,1-2,-1,-1
29,1,5,23,swap,move1,mobilize,0,swap,2-0,2-1,-1,-1
30,0,5,23,swap,move1,swap,2,swap,2-2,1-2,0-3,0-4
31,1,6,23,swap,move1,swap,1,move1,2-1,2-2,-1,-1
32,0,6,24,swap,move1,move1,2,move1,1-2,2-2,-1,-1
33,1,7,24,mobilize,move1,move1,0,mobilize,1-0,2-2,-1,-1
34,0,7,24,mobilize,move1,move2,2,move2,1-0,2-0,-1,-1
35,1,8,24,mobilize,move1,capture,2,capture,1-2,2-3,-1,-1
36,0,8,24,mobilize,capture,capture,1,capture,0-4,0-3,-1,-1
37,1,12,24,mobilize,move1,capture,1,move1,2-2,2-0,2-3,-1
38,0,12,24,mobilize,move2,capture,1,move2,1-4,1-3,-1,-1
39,1,16,24,mobilize,move2,mobilize,2,mobilize,2-3,1-3,-1,-1
40,0,16,24,mobilize,swap,mobilize,1,swap,1-4,2-4,-1,-1
41,1,17,24,mobilize,move2,mobilize,1,move2,2-3,2-4,-1,-1
42,0,17,24,mobilize,capture,mobilize,1,capture,2-3,4-3,-1,-1
43,1,17,24,move1,capture,mobilize,0,move1,2-4,2-3,2-2,2-1
44,0,17,24,capture,capture,mobilize,0,capture,0-3,0-4,-1,-1
45,1,18,24,capture,capture,swap,2,swap,2-3,2-2,2-1,2-0
46,0,18,25,capture,capture,move1,2,move1,4-3,2-2,-1,-1
47,1,18,25,capture,capture,move1,2,move1,2-0,2-1,-1,-1
48,0,18,29,mobilize,capture,move1,0,mobilize,2-2,2-1,-1,-1
49,1,18,29,move2,capture,move1,0,move2,4-3,4-2,1-0,1-1
50,0,18,30,move1,capture,move1,0,move1,0-4,1-3,-1,-1
