turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,1-0,1-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,3-4,2-4,4-4,4-3
3,1,0,0,swap,capture,mobilize,0,swap,1-1,1-2,-1,-1
4,0,0,0,move1,capture,mobilize,0,move1,4-3,4-0,-1,-1
5,1,3,0,move1,move1,mobilize,1,move1,3-0,4-0,-1,-1
6,0,3,0,move1,move1,mobilize,2,mobilize,2-4,2-3,3-4,3-3
7,1,4,0,move1,move1,mobilize,2,mobilize,1-2,2-2,3-0,2-0
8,0,4,0,move1,move1,capture,2,capture,0-4,0-3,1-4,1-3
9,1,8,0,move1,move1,capture,2,capture,2-2,2-3,-1,-1
10,0,8,3,move1,move1,move2,2,move2,0-3,0-0,0-4,-1
11,1,9,3,move1,move1,mobilize,2,mobilize,0-0,1-1,-1,-1
12,0,9,3,move1,move1,move2,2,move2,0-4,1-4,3-3,2-3
13,1,10,3,move2,move1,move2,0,move2,1-1,2-1,-1,-1
14,0,10,3,move2,capture,move2,1,capture,1-4,2-4,-1,-1
15,1,14,3,move2,swap,move2,1,swap,2-2,2-3,-1,-1
16,0,14,3,move1,swap,move2,0,move1,2-4,1-4,-1,-1
17,1,15,3,move1,move2,move2,1,move2,4-3,1-3,-1,-1
18,0,15,3,move1,move2,move2,1,move2,4-3,2-3,-1,-1
19,1,16,3,move1,capture,move2,1,capture,1-3,1-1,-1,-1
20,0,16,6,move1,move1,move2,1,move1,2-3,2-2,-1,-1
21,1,17,6,move1,move1,move2,2,move2,1-1,2-2,-1,-1
22,0,17,6,swap,move1,move2,0,swap,2-3,1-3,-1,-1
23,1,18,6,move1,move1,move2,0,move1,0-0,0-3,-1,-1
24,0,18,6,move1,move1,move1,2,move1,0-0,0-2,-1,-1
25,1,19,6,swap,move1,move1,0,swap,2-1,3-1,-1,-1
26,0,19,6,swap,move1,move1,0,swap,0-4,0-3,-1,-1
27,1,20,6,mobilize,move1,move1,0,mobilize,0-4,1-3,-1,-1
28,0,20,6,mobilize,capture,move1,1,capture,0-2,1-2,-1,-1
29,1,24,6,mobilize,move2,move1,1,move2,1-3,0-3,-1,-1
30,0,24,6,mobilize,capture,move1,1,capture,0-4,0-2,-1,-1
31,1,28,6,mobilize,mobilize,move1,1,mobilize,1-3,1-2,-1,-1
32,0,28,6,swap,mobilize,move1,0,swap,0-2,0-3,3-4,2-4
33,1,29,6,swap,move1,move1,1,move1,3-1,2-1,1-3,2-3
34,0,29,6,swap,move1,move1,0,swap,0-4,2-3,-1,-1
35,1,30,6,capture,move1,move1,0,capture,0-4,2-3,-1,-1
36,0,30,9,mobilize,move1,move1,0,mobilize,2-4,2-3,-1,-1
37,1,31,9,mobilize,capture,move1,1,capture,0-0,1-0,-1,-1
38,0,31,9,mobilize,capture,move2,2,move2,0-3,1-3,-1,-1
39,1,35,9,mobilize,move1,move2,1,move1,2-2,2-4,2-1,-1
40,0,35,9,move2,move1,move2,0,move2,0-4,0-3,3-4,2-4
41,1,36,9,move2,capture,move2,1,capture,1-0,1-1,-1,-1
42,0,36,12,move2,move1,move2,1,move1,1-3,1-1,1-4,-1
43,1,37,12,move2,move1,move2,0,move2,0-0,1-1,-1,-1
44,0,37,12,move2,mobilize,move2,1,mobilize,2-4,2-3,-1,-1
45,1,38,12,move1,mobilize,move2,0,move1,2-0,3-1,-1,-1
46,0,38,12,move1,mobilize,move2,2,move2,0-3,1-2,-1,-1
47,1,39,12,move1,mobilize,mobilize,2,mobilize,1-1,2-0,-1,-1
48,0,39,12,swap,mobilize,mobilize,0,swap,1-4,2-4,-1,-1
49,1,40,12,move1,mobilize,mobilize,0,move1,2-0,2-3,-1,-1
50,0,40,12,move1,move1,mobilize,1,move1,2-4,1-4,2-0,1-0
