turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,4,0,capture,swap,move2,2,move2,3-1,3-3,-1,-1
2,0,4,4,capture,capture,move2,1,capture,5-4,3-3,-1,-1
3,1,4,4,capture,capture,move1,2,move1,1-2,3-2,-1,-1
4,0,4,9,move1,capture,move1,0,move1,3-3,3-2,-1,-1
5,1,4,9,swap,capture,move1,0,swap,3-1,3-2,-1,-1
6,0,4,14,swap,capture,move1,1,capture,3-3,3-2,-1,-1
7,1,8,14,move2,capture,move1,0,move2,5-4,3-3,-1,-1
8,0,8,14,move2,capture,move1,0,move2,3-5,3-4,-1,-1
9,1,13,14,move2,mobilize,move1,1,mobilize,3-3,3-4,-1,-1
10,0,13,14,mobilize,mobilize,move1,0,mobilize,3-5,3-4,-1,-1
11,1,17,14,move1,mobilize,move1,0,move1,3-1,3-2,5-2,4-2
12,0,17,14,move1,mobilize,move1,0,move1,5-4,5-3,-1,-1
13,1,21,14,capture,mobilize,move1,0,capture,4-2,4-3,-1,-1
14,0,21,15,move1,mobilize,move1,0,move1,5-3,4-3,-1,-1
15,1,25,15,move2,mobilize,move1,0,move2,3-1,2-1,-1,-1
16,0,25,15,capture,mobilize,move1,0,capture,3-4,2-3,-1,-1
17,1,30,15,mobilize,mobilize,move1,0,mobilize,3-3,2-3,-1,-1
18,0,30,15,mobilize,mobilize,move1,0,mobilize,3-5,3-4,5-3,5-2
19,1,34,15,mobilize,mobilize,move1,2,move1,2-1,3-1,-1,-1
20,0,34,15,move2,mobilize,move1,0,move2,5-2,5-1,1-4,1-3
21,1,38,15,move1,mobilize,move1,0,move1,3-1,2-2,-1,-1
22,0,38,15,swap,mobilize,move1,0,swap,5-1,5-0,-1,-1
23,1,42,15,swap,mobilize,swap,2,swap,2-2,2-3,-1,-1
