turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,capture,-1,None,-1,-1,-1,-1
1,1,4,0,move2,move1,capture,0,move2,3-1,3-3,-1,-1
2,0,4,0,move1,move1,capture,0,move1,5-4,3-4,-1,-1
3,1,9,0,move1,move1,swap,2,swap,3-3,3-4,-1,-1
4,0,9,4,move1,move1,mobilize,2,mobilize,5-4,3-3,-1,-1
5,1,9,4,capture,move1,mobilize,0,capture,5-4,5-3,-1,-1
6,0,9,8,capture,move1,swap,2,swap,3-5,3-4,1-4,2-4
7,1,13,8,capture,move1,swap,2,swap,1-2,3-3,-1,-1
8,0,13,12,capture,move1,move2,2,move2,1-2,3-3,-1,-1
9,1,13,12,capture,swap,move2,1,swap,5-3,4-3,-1,-1
10,0,13,17,mobilize,swap,move2,0,mobilize,3-3,4-3,-1,-1
11,1,17,17,mobilize,capture,move2,1,capture,1-2,3-3,-1,-1
12,0,17,17,mobilize,capture,move1,2,move1,1-2,2-3,-1,-1
13,1,22,17,mobilize,move1,move1,1,move1,3-3,3-4,-1,-1
14,0,22,17,mobilize,mobilize,move1,1,mobilize,2-4,3-4,-1,-1
15,1,26,17,capture,mobilize,move1,0,capture,3-1,3-2,5-2,4-2
16,0,26,18,mobilize,mobilize,move1,0,mobilize,2-3,3-3,-1,-1
17,1,30,18,move2,mobilize,move1,0,move2,3-2,3-3,4-2,4-3
18,0,30,18,move1,mobilize,move1,0,move1,2-3,2-4,-1,-1
19,1,34,18,mobilize,mobilize,move1,0,mobilize,3-1,3-2,-1,-1
20,0,34,18,mobilize,mobilize,move1,2,move1,2-4,2-5,-1,-1
21,1,38,18,mobilize,mobilize,move1,2,move1,4-3,4-2,-1,-1
22,0,38,18,mobilize,mobilize,capture,2,capture,2-5,2-4,-1,-1
23,1,43,18,mobilize,mobilize,move2,2,move2,3-3,3-4,-1,-1
