turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,capture,-1,None,-1,-1,-1,-1
1,1,2,0,move2,move1,capture,0,move2,3-1,3-3,-1,-1
2,0,2,0,move1,move1,capture,0,move1,5-4,6-4,-1,-1
3,1,4,0,swap,move1,capture,0,swap,1-2,1-3,-1,-1
4,0,4,2,mobilize,move1,capture,0,mobilize,3-5,3-3,-1,-1
5,1,5,2,mobilize,move1,capture,2,capture,1-3,1-4,-1,-1
6,0,5,4,mobilize,swap,capture,1,swap,5-4,5-5,-1,-1
7,1,7,4,mobilize,swap,capture,1,swap,5-2,3-3,-1,-1
8,0,7,4,move2,swap,capture,0,move2,5-2,5-1,6-4,5-4
9,1,10,4,swap,swap,capture,0,swap,1-3,0-3,-1,-1
10,0,10,6,mobilize,swap,capture,0,mobilize,5-4,3-3,-1,-1
11,1,13,6,mobilize,capture,capture,1,capture,5-4,3-3,-1,-1
12,0,13,6,move1,capture,capture,0,move1,5-1,5-2,5-5,5-6
13,1,16,6,move1,capture,capture,0,move1,3-5,3-4,-1,-1
14,0,16,6,mobilize,capture,capture,0,mobilize,5-2,5-1,-1,-1
15,1,18,6,capture,capture,capture,0,capture,3-4,2-4,0-3,1-3
16,0,18,6,capture,capture,capture,-1,None,-1,-1,-1,-1
17,1,18,6,mobilize,move2,move1,-1,None,-1,-1,-1,-1
18,0,18,6,mobilize,move2,move1,0,mobilize,5-1,5-2,5-4,6-4
19,1,21,6,move1,move2,move1,0,move1,2-4,2-3,1-3,0-3
20,0,21,6,move1,move2,move1,2,move1,5-6,5-5,-1,-1
21,1,24,6,capture,move2,move1,0,capture,2-3,1-3,-1,-1
22,0,24,7,capture,move2,move1,1,move2,5-2,6-3,-1,-1
23,1,27,7,capture,move2,move1,2,move1,1-3,2-3,-1,-1
24,0,27,8,capture,move2,move2,2,move2,5-5,6-5,-1,-1
25,1,31,8,swap,move2,move2,0,swap,3-3,6-3,2-3,-1
26,0,31,8,swap,move2,move1,2,move1,3-5,3-4,-1,-1
27,1,34,8,swap,move2,swap,2,swap,2-3,1-3,-1,-1
28,0,34,8,swap,move1,swap,1,move1,3-4,4-5,-1,-1
29,1,37,8,swap,mobilize,swap,1,mobilize,1-3,2-3,-1,-1
30,0,37,9,swap,move2,swap,1,move2,4-5,4-6,6-4,6-3
31,1,40,9,swap,move1,swap,1,move1,2-3,1-3,-1,-1
