turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-2,2-2,5-2,4-2
2,0,0,0,move1,capture,mobilize,0,move1,3-5,3-4,-1,-1
3,1,0,0,move1,capture,swap,2,swap,2-2,2-1,4-2,3-2
4,0,0,2,move1,capture,swap,0,move1,3-4,3-3,-1,-1
5,1,2,2,move1,capture,move1,2,move1,2-1,3-3,-1,-1
6,0,2,3,move1,mobilize,move1,1,mobilize,2-1,3-1,-1,-1
7,1,4,3,mobilize,mobilize,move1,0,mobilize,3-2,2-2,-1,-1
8,0,4,3,capture,mobilize,move1,0,capture,2-1,2-0,5-4,5-3
9,1,6,3,capture,capture,move1,1,capture,3-1,3-2,2-2,2-3
10,0,6,4,capture,capture,move2,2,move2,5-3,6-3,-1,-1
11,1,9,4,mobilize,capture,move2,0,mobilize,3-3,6-3,2-3,-1
12,0,9,5,mobilize,capture,move2,2,move2,1-4,0-3,-1,-1
13,1,12,5,mobilize,move2,move2,1,move2,3-3,3-5,3-2,-1
14,0,12,6,mobilize,capture,move2,1,capture,2-0,2-1,-1,-1
15,1,15,6,mobilize,swap,move2,1,swap,3-3,3-5,3-2,-1
16,0,15,9,mobilize,move1,move2,1,move1,3-5,3-3,-1,-1
17,1,15,9,move2,move1,move2,0,move2,3-2,2-2,3-5,3-4
18,0,15,12,move2,move1,move2,0,move2,2-1,3-2,-1,-1
19,1,15,12,capture,move1,move2,0,capture,3-4,2-4,-1,-1
20,0,15,16,move1,move1,move2,0,move1,3-2,2-2,-1,-1
21,1,15,16,move1,move1,move2,2,move2,3-1,2-2,-1,-1
22,0,15,19,move1,move1,swap,2,swap,3-2,4-3,-1,-1
23,1,17,19,move1,move1,move1,2,move1,2-2,3-3,-1,-1
24,0,17,20,move1,move1,move1,0,move1,2-2,3-2,-1,-1
25,1,19,20,swap,move1,move1,0,swap,2-4,3-4,-1,-1
26,0,19,22,swap,move1,move1,0,swap,0-3,3-3,-1,-1
27,1,21,22,move1,move1,move1,0,move1,0-3,3-3,-1,-1
28,0,21,23,move1,move1,move1,0,move1,4-3,4-2,-1,-1
29,1,23,23,move2,move1,move1,0,move2,3-4,2-4,-1,-1
30,0,23,24,swap,move1,move1,0,swap,4-2,3-1,-1,-1
31,1,25,24,move1,move1,move1,0,move1,2-4,3-2,-1,-1
32,0,25,25,move1,move1,move1,0,move1,2-4,1-4,-1,-1
33,1,27,25,move1,move1,move1,0,move1,3-2,2-2,-1,-1
34,0,27,26,swap,move1,move1,0,swap,1-4,1-3,-1,-1
35,1,29,26,capture,move1,move1,0,capture,2-2,1-3,-1,-1
36,0,29,28,move2,move1,move1,0,move2,2-2,2-3,-1,-1
37,1,31,28,move2,mobilize,move1,1,mobilize,1-3,2-3,-1,-1
38,0,31,29,move1,mobilize,move1,0,move1,2-2,3-2,-1,-1
39,1,33,29,mobilize,mobilize,move1,0,mobilize,1-2,1-3,-1,-1
40,0,33,30,swap,mobilize,move1,0,swap,3-1,2-1,3-2,2-2
41,1,33,30,capture,mobilize,move1,0,capture,3-3,2-2,-1,-1
42,0,33,34,mobilize,mobilize,move1,0,mobilize,3-3,2-3,-1,-1
43,1,33,34,move2,mobilize,move1,0,move2,3-1,3-2,1-3,2-3
44,0,33,37,move2,mobilize,mobilize,2,mobilize,2-1,3-1,-1,-1
45,1,33,37,move2,mobilize,mobilize,0,move2,2-2,1-3,-1,-1
46,0,33,40,move2,mobilize,mobilize,0,move2,3-1,2-2,-1,-1
