turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,move2,1,mobilize,1-2,1-3,5-2,5-3
2,0,0,2,move1,mobilize,move1,2,move1,3-5,3-3,-1,-1
3,1,1,2,move1,mobilize,move1,2,move1,1-3,0-3,-1,-1
4,0,1,4,move1,move1,move1,1,move1,5-4,4-4,1-4,2-4
5,1,1,4,move1,move1,capture,2,capture,0-3,0-2,-1,-1
6,0,1,6,capture,move1,capture,0,capture,4-4,3-4,-1,-1
7,1,1,6,capture,mobilize,capture,1,mobilize,3-1,3-0,-1,-1
8,0,1,9,capture,mobilize,capture,0,capture,3-3,3-0,3-4,-1
9,1,1,9,capture,swap,capture,1,swap,3-1,3-2,5-3,5-2
10,0,1,12,move1,swap,capture,0,move1,3-3,3-2,-1,-1
11,1,1,12,move1,swap,capture,0,move1,5-2,5-3,-1,-1
12,0,1,15,move1,swap,capture,2,capture,3-3,3-1,3-4,-1
13,1,1,15,move1,swap,capture,0,move1,5-3,5-2,-1,-1
14,0,1,18,move1,swap,move2,2,move2,3-3,3-1,3-4,-1
15,1,2,18,move1,swap,capture,2,capture,0-2,0-3,-1,-1
16,0,2,21,move1,swap,move2,2,move2,3-3,3-1,3-4,-1
17,1,3,21,move1,swap,swap,2,swap,3-1,4-1,-1,-1
18,0,3,23,mobilize,swap,swap,0,mobilize,2-4,2-3,-1,-1
19,1,3,23,mobilize,swap,swap,0,mobilize,0-3,0-4,5-2,5-1
20,0,3,25,move2,swap,swap,0,move2,3-4,2-4,2-3,1-3
21,1,3,25,move1,swap,swap,0,move1,0-4,1-4,-1,-1
22,0,3,28,move2,swap,swap,0,move2,1-3,0-3,-1,-1
23,1,3,28,swap,swap,swap,0,swap,1-4,2-3,-1,-1
24,0,3,30,move2,swap,swap,0,move2,0-3,2-3,-1,-1
25,1,4,30,swap,swap,swap,0,swap,4-1,2-1,-1,-1
26,0,4,33,move1,swap,swap,0,move1,2-4,0-3,-1,-1
27,1,4,33,move2,swap,swap,0,move2,5-1,4-1,-1,-1
28,0,4,35,move2,mobilize,swap,1,mobilize,0-3,2-4,-1,-1
29,1,5,35,move1,mobilize,swap,0,move1,4-1,4-2,-1,-1
30,0,5,37,swap,mobilize,swap,0,swap,2-4,1-4,-1,-1
31,1,6,37,swap,mobilize,move1,2,move1,2-1,2-3,-1,-1
32,0,6,39,capture,mobilize,move1,0,capture,2-1,2-3,-1,-1
33,1,6,39,capture,capture,move1,1,capture,2-1,1-1,0-3,0-2
34,0,6,41,capture,capture,swap,2,swap,1-4,1-3,-1,-1
