turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,3-1,3-2,-1,-1
2,0,0,2,capture,swap,capture,2,capture,3-5,3-3,-1,-1
3,1,1,2,move1,swap,capture,0,move1,3-2,3-3,-1,-1
4,0,1,2,move1,swap,capture,0,move1,3-5,3-4,-1,-1
5,1,3,2,swap,swap,capture,0,swap,3-2,3-3,-1,-1
6,0,3,3,swap,swap,capture,2,capture,3-4,3-3,-1,-1
7,1,3,3,move2,swap,capture,0,move2,5-2,5-4,-1,-1
8,0,3,5,move2,swap,capture,0,move2,3-4,3-3,-1,-1
9,1,3,5,mobilize,swap,capture,0,mobilize,1-2,1-1,-1,-1
10,0,3,7,mobilize,swap,capture,0,mobilize,5-2,5-3,1-4,1-3
11,1,3,7,mobilize,move1,capture,1,move1,5-4,5-3,-1,-1
12,0,3,10,mobilize,move1,move1,2,move1,5-4,5-3,-1,-1
13,1,3,10,capture,move1,move1,0,capture,1-1,1-0,1-2,0-2
14,0,3,13,capture,move1,move1,1,move1,1-3,0-3,-1,-1
15,1,3,13,capture,move2,move1,1,move2,0-2,0-1,-1,-1
16,0,3,17,capture,capture,move1,1,capture,5-4,6-3,-1,-1
17,1,3,17,capture,capture,mobilize,2,mobilize,0-1,1-1,-1,-1
18,0,3,19,capture,capture,mobilize,2,mobilize,6-3,5-3,0-3,1-3
19,1,3,19,capture,capture,move1,2,move1,3-1,2-1,1-0,0-0
20,0,3,22,capture,capture,move2,2,move2,5-3,6-3,-1,-1
21,1,3,22,capture,capture,move1,2,move1,2-1,2-2,-1,-1
22,0,3,25,capture,capture,swap,2,swap,1-3,2-3,-1,-1
23,1,3,25,capture,capture,swap,2,swap,1-1,2-3,-1,-1
24,0,3,29,mobilize,capture,swap,0,mobilize,3-3,2-3,-1,-1
25,1,3,29,move1,capture,swap,0,move1,2-2,2-1,3-1,4-1
26,0,3,33,move1,move1,swap,1,move1,1-1,2-1,-1,-1
27,1,3,33,move1,mobilize,swap,1,mobilize,4-1,4-0,-1,-1
28,0,3,36,move1,mobilize,move2,2,move2,1-1,3-1,-1,-1
29,1,3,36,move1,mobilize,swap,2,swap,1-1,2-2,-1,-1
30,0,3,39,capture,mobilize,swap,0,capture,3-1,3-2,-1,-1
31,1,3,39,capture,move1,swap,1,move1,2-2,2-3,4-0,5-0
32,0,3,43,move1,move1,swap,0,move1,3-3,2-3,-1,-1
