turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,2,0,capture,swap,move2,2,move2,3-1,3-3,-1,-1
2,0,2,0,capture,swap,capture,2,capture,5-4,3-4,-1,-1
3,1,5,0,move1,swap,capture,0,move1,3-3,3-4,-1,-1
4,0,5,2,move1,move1,capture,1,move1,3-5,3-3,-1,-1
5,1,5,2,swap,move1,capture,0,swap,3-5,3-4,-1,-1
6,0,5,5,swap,move1,capture,2,capture,3-3,3-4,-1,-1
7,1,7,5,move2,move1,capture,0,move2,3-1,3-3,-1,-1
8,0,7,6,move2,move1,capture,0,move2,5-4,6-3,-1,-1
9,1,10,6,mobilize,move1,capture,0,mobilize,1-2,0-3,-1,-1
10,0,10,7,mobilize,move1,capture,0,mobilize,3-1,3-2,1-4,1-3
11,1,14,7,mobilize,move1,move1,2,move1,0-3,1-3,-1,-1
12,0,14,8,move1,move1,move1,0,move1,3-2,2-2,3-5,3-4
13,1,17,8,capture,move1,move1,0,capture,5-2,5-3,-1,-1
14,0,17,10,move1,move1,move1,0,move1,6-3,5-3,-1,-1
15,1,20,10,move2,move1,move1,0,move2,3-1,3-2,-1,-1
16,0,20,11,capture,move1,move1,0,capture,3-4,2-3,-1,-1
17,1,24,11,mobilize,move1,move1,0,mobilize,3-3,2-3,-1,-1
18,0,24,12,mobilize,move1,move1,0,mobilize,2-2,2-3,3-5,2-5
19,1,27,12,mobilize,move1,move1,1,move1,3-2,4-2,-1,-1
20,0,27,13,mobilize,move2,move1,1,move2,2-5,2-4,-1,-1
21,1,30,13,mobilize,move2,move1,2,move1,4-2,4-3,-1,-1
22,0,30,14,mobilize,swap,move1,1,swap,2-4,1-3,-1,-1
23,1,32,14,mobilize,swap,move1,1,swap,0-3,2-3,-1,-1
24,0,32,17,mobilize,mobilize,move1,1,mobilize,6-3,3-3,-1,-1
25,1,33,17,move1,mobilize,move1,0,move1,2-3,2-2,4-3,5-3
26,0,33,20,move1,mobilize,move1,0,move1,1-3,2-3,-1,-1
27,1,34,20,mobilize,mobilize,move1,0,mobilize,2-2,1-2,-1,-1
28,0,34,23,mobilize,mobilize,move2,2,move2,2-3,1-3,-1,-1
29,1,35,23,mobilize,mobilize,swap,2,swap,1-2,2-2,-1,-1
30,0,35,25,mobilize,mobilize,capture,2,capture,0-3,2-2,-1,-1
31,1,38,25,mobilize,mobilize,move1,2,move1,0-3,1-3,-1,-1
32,0,38,27,move1,mobilize,move1,0,move1,2-2,2-3,3-5,3-4
33,1,39,27,mobilize,mobilize,move1,0,mobilize,0-3,1-3,-1,-1
34,0,39,29,mobilize,mobilize,capture,2,capture,3-4,4-4,-1,-1
35,1,41,29,mobilize,mobilize,capture,2,capture,1-3,2-3,-1,-1
