turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,2,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,2,0,move1,move1,mobilize,1,move1,3-5,3-6,5-4,5-5
3,1,4,0,move1,move1,move1,2,move1,1-2,2-2,5-2,4-2
4,0,4,0,move1,move1,move1,0,move1,5-5,5-6,-1,-1
5,1,6,0,capture,move1,move1,0,capture,2-2,3-2,-1,-1
6,0,6,0,capture,capture,move1,1,capture,1-4,0-4,-1,-1
7,1,9,0,mobilize,capture,move1,0,mobilize,3-3,3-6,3-2,-1
8,0,9,0,capture,capture,move1,0,capture,3-5,2-5,5-6,4-6
9,1,11,0,capture,capture,swap,2,swap,4-2,4-3,-1,-1
10,0,11,0,capture,capture,move1,2,move1,4-6,4-3,-1,-1
11,1,14,0,move1,capture,move1,0,move1,3-3,4-3,-1,-1
12,0,14,0,move1,capture,capture,2,capture,3-5,4-5,-1,-1
13,1,17,0,move1,move1,capture,1,move1,4-6,4-5,-1,-1
14,0,17,1,move1,move2,capture,1,move2,0-4,0-3,-1,-1
15,1,20,1,move1,move2,capture,2,capture,3-3,3-5,3-2,-1
16,0,20,2,move1,move2,capture,1,move2,3-5,5-5,-1,-1
17,1,22,2,move1,swap,capture,1,swap,3-2,2-3,-1,-1
18,0,22,3,mobilize,swap,capture,0,mobilize,5-5,4-5,-1,-1
19,1,25,3,mobilize,swap,mobilize,2,mobilize,4-6,4-5,-1,-1
20,0,25,4,move2,swap,mobilize,0,move2,2-5,1-5,3-5,3-4
21,1,27,4,move2,move1,mobilize,1,move1,4-6,3-4,-1,-1
22,0,27,4,move2,move1,move2,2,move2,4-6,3-6,0-3,0-2
23,1,29,4,swap,move1,move2,0,swap,2-3,3-2,-1,-1
24,0,29,6,move2,move1,move2,0,move2,3-6,3-3,-1,-1
25,1,29,6,swap,move1,move2,0,swap,3-6,3-5,-1,-1
26,0,29,6,swap,move1,move1,2,move1,3-3,2-3,-1,-1
27,1,31,6,swap,move2,move1,1,move2,3-2,3-3,-1,-1
28,0,31,6,swap,move1,move1,1,move1,0-2,1-1,-1,-1
29,1,33,6,move1,move1,move1,0,move1,3-5,2-3,-1,-1
30,0,33,6,swap,move1,move1,0,swap,1-5,1-4,-1,-1
31,1,35,6,swap,mobilize,move1,1,mobilize,2-3,2-4,-1,-1
32,0,35,6,swap,mobilize,swap,2,swap,3-5,4-5,-1,-1
33,1,37,6,swap,mobilize,swap,1,mobilize,2-4,2-5,3-4,3-5
34,0,37,6,swap,move2,swap,1,move2,1-4,0-4,1-1,0-1
35,1,39,6,swap,mobilize,swap,1,mobilize,2-5,3-4,-1,-1
36,0,39,6,swap,mobilize,swap,1,mobilize,0-4,0-5,0-1,0-2
37,1,41,6,move2,mobilize,swap,0,move2,3-5,4-5,-1,-1
