turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,4-1,4-3,-1,-1
2,0,0,0,capture,swap,capture,2,capture,4-7,4-5,-1,-1
3,1,0,0,capture,move1,capture,1,move1,4-3,4-5,-1,-1
4,0,0,6,capture,move1,capture,1,move1,4-3,4-4,-1,-1
5,1,1,6,swap,move1,capture,0,swap,4-5,4-4,-1,-1
6,0,1,6,capture,move1,capture,0,capture,4-7,4-5,-1,-1
7,1,1,6,capture,move2,capture,1,move2,4-7,4-6,-1,-1
8,0,1,7,move2,move2,capture,0,move2,4-5,4-6,-1,-1
9,1,1,7,mobilize,move2,capture,0,mobilize,4-1,4-3,-1,-1
10,0,1,13,mobilize,move2,capture,0,mobilize,4-5,4-4,7-5,6-5
11,1,2,13,mobilize,move2,move1,2,move1,4-3,4-4,-1,-1
12,0,2,13,mobilize,move1,move1,1,move1,4-7,4-5,-1,-1
13,1,8,13,capture,move1,move1,0,capture,4-3,4-4,1-3,1-4
14,0,8,14,move1,move1,move1,0,move1,4-5,4-4,-1,-1
15,1,8,14,move2,move1,move1,0,move2,4-1,4-2,-1,-1
16,0,8,20,move2,capture,move1,1,capture,4-5,4-4,-1,-1
17,1,9,20,move2,mobilize,move1,1,mobilize,1-4,1-5,-1,-1
18,0,9,26,move2,mobilize,move1,1,mobilize,6-5,5-5,4-7,4-6
19,1,9,26,move1,mobilize,move1,0,move1,7-3,5-3,-1,-1
20,0,9,32,move1,move2,move1,1,move2,5-5,5-4,4-6,4-5
21,1,9,32,move1,move2,move1,0,move1,4-2,5-2,-1,-1
22,0,9,38,move1,swap,move1,1,swap,4-5,3-4,-1,-1
23,1,15,38,move1,swap,move1,1,swap,1-4,4-4,-1,-1
24,0,15,44,move1,mobilize,move1,1,mobilize,1-4,4-4,-1,-1
25,1,15,44,move1,mobilize,move1,0,move1,1-4,2-4,-1,-1
26,0,15,50,capture,mobilize,move1,0,capture,5-4,6-4,-1,-1
27,1,16,50,mobilize,mobilize,move1,0,mobilize,2-4,3-4,-1,-1
28,0,16,56,mobilize,mobilize,move2,2,move2,4-7,4-6,-1,-1
29,1,16,56,swap,mobilize,move2,0,swap,5-2,4-2,5-3,4-3
30,0,16,62,swap,mobilize,move2,0,swap,4-6,4-3,-1,-1
