turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,move1,swap,capture,1,swap,1-3,1-5,-1,-1
2,0,0,0,move1,swap,capture,0,move1,4-7,4-6,-1,-1
3,1,0,0,move1,swap,capture,0,move1,7-3,7-4,-1,-1
4,0,0,1,move1,swap,move2,2,move2,7-5,7-4,-1,-1
5,1,0,1,move2,swap,move2,0,move2,1-5,1-6,-1,-1
6,0,0,7,move2,swap,move2,0,move2,4-6,4-4,-1,-1
7,1,0,7,move2,swap,mobilize,2,mobilize,7-3,6-2,-1,-1
8,0,0,13,swap,swap,mobilize,0,swap,7-5,6-4,-1,-1
9,1,0,13,swap,swap,capture,2,capture,1-6,0-6,6-2,5-2
10,0,0,19,move2,swap,capture,0,move2,6-4,5-2,-1,-1
11,1,0,19,move1,swap,capture,0,move1,0-6,1-7,-1,-1
12,0,0,25,mobilize,swap,capture,0,mobilize,5-2,4-2,-1,-1
13,1,0,25,move2,swap,capture,0,move2,4-1,4-0,1-7,0-7
14,0,0,31,capture,swap,capture,0,capture,1-3,3-3,-1,-1
15,1,0,31,capture,move1,capture,1,move1,4-0,4-2,-1,-1
16,0,0,37,capture,move1,capture,1,move1,3-3,3-4,-1,-1
17,1,0,37,capture,swap,capture,1,swap,4-2,3-2,-1,-1
18,0,0,44,capture,swap,capture,0,capture,4-4,6-4,3-4,-1
19,1,0,44,capture,mobilize,capture,1,mobilize,4-1,4-0,-1,-1
20,0,0,51,capture,mobilize,capture,0,capture,4-1,4-0,-1,-1
21,1,0,51,capture,move2,capture,1,move2,0-7,1-7,1-3,1-4
22,0,0,58,move1,move2,capture,0,move1,3-4,1-4,4-4,-1
23,1,0,58,move1,mobilize,capture,1,mobilize,1-7,2-8,-1,-1
24,0,0,64,mobilize,mobilize,capture,0,mobilize,4-1,4-2,-1,-1
