turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,4-1,4-0,1-3,2-3
2,0,0,0,move1,capture,mobilize,0,move1,4-7,4-6,-1,-1
3,1,0,0,move1,capture,swap,2,swap,4-0,5-0,2-3,2-2
4,0,0,0,move1,capture,swap,0,move1,4-6,4-5,-1,-1
5,1,0,0,move1,capture,swap,0,move1,5-0,4-0,-1,-1
6,0,0,6,mobilize,capture,swap,0,mobilize,4-5,4-4,-1,-1
7,1,0,6,mobilize,capture,swap,0,mobilize,2-2,2-1,7-3,7-4
8,0,0,13,mobilize,capture,swap,1,capture,7-5,7-4,-1,-1
9,1,0,13,capture,capture,swap,0,capture,2-1,2-0,4-1,3-1
10,0,0,13,capture,capture,swap,-1,None,-1,-1,-1,-1
11,1,0,13,move2,mobilize,move2,-1,None,-1,-1,-1,-1
12,0,0,19,move2,mobilize,move2,0,move2,7-5,6-4,-1,-1
13,1,0,19,capture,mobilize,move2,0,capture,3-1,1-1,-1,-1
14,0,0,25,capture,mobilize,swap,2,swap,1-5,2-4,-1,-1
15,1,0,25,capture,move1,swap,1,move1,4-0,4-1,2-0,3-0
16,0,0,31,capture,move2,swap,1,move2,6-4,5-4,-1,-1
17,1,0,31,capture,move2,swap,1,move2,4-1,3-1,-1,-1
18,0,0,37,capture,capture,swap,1,capture,2-4,3-4,-1,-1
19,1,1,37,move1,capture,swap,0,move1,3-1,3-4,3-0,-1
20,0,1,43,move2,capture,swap,0,move2,4-7,4-6,-1,-1
21,1,1,43,swap,capture,swap,0,swap,3-0,1-0,-1,-1
22,0,1,43,swap,capture,swap,-1,None,-1,-1,-1,-1
23,1,1,43,move1,move1,swap,-1,None,-1,-1,-1,-1
24,0,1,49,swap,move1,swap,0,swap,4-6,4-5,-1,-1
25,1,1,49,swap,move1,swap,1,move1,1-1,2-1,-1,-1
26,0,1,55,swap,capture,swap,1,capture,5-4,5-5,-1,-1
27,1,1,55,swap,capture,swap,-1,None,-1,-1,-1,-1
28,0,1,55,move1,move1,mobilize,-1,None,-1,-1,-1,-1
29,1,1,55,move1,move1,move1,2,move1,3-1,3-0,1-0,1-1
30,0,1,61,swap,move1,move1,0,swap,5-5,5-4,-1,-1
