turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,swap,2,swap,4-1,4-3,-1,-1
2,0,0,0,move1,mobilize,swap,1,mobilize,4-7,4-6,7-5,7-4
3,1,6,0,move1,mobilize,swap,1,mobilize,4-3,4-4,1-3,1-4
4,0,6,6,move1,mobilize,mobilize,2,mobilize,7-4,4-4,-1,-1
5,1,6,6,move2,mobilize,mobilize,0,move2,7-4,6-4,-1,-1
6,0,6,12,capture,mobilize,mobilize,0,capture,1-5,3-5,-1,-1
7,1,6,12,capture,capture,mobilize,1,capture,6-4,5-4,1-4,1-3
8,0,6,19,capture,capture,mobilize,0,capture,4-4,5-4,-1,-1
9,1,6,19,capture,capture,move1,2,move1,4-1,4-2,1-3,1-2
10,0,6,25,capture,capture,move2,2,move2,3-5,4-5,-1,-1
11,1,6,25,capture,capture,move2,2,move2,4-2,4-3,-1,-1
12,0,6,32,swap,capture,move2,0,swap,4-4,4-3,-1,-1
13,1,12,32,move1,capture,move2,0,move1,4-1,4-4,-1,-1
14,0,12,32,move1,capture,swap,2,swap,4-1,4-3,-1,-1
15,1,19,32,move1,swap,swap,1,swap,4-4,4-5,-1,-1
16,0,19,38,move1,move1,swap,1,move1,4-7,4-4,-1,-1
17,1,25,38,move1,move1,capture,2,capture,4-7,4-4,-1,-1
18,0,25,39,move1,move1,move1,2,move1,4-3,4-4,-1,-1
19,1,25,39,move1,move1,move1,0,move1,4-1,4-2,-1,-1
20,0,25,45,mobilize,move1,move1,0,mobilize,4-3,4-4,-1,-1
21,1,25,45,move2,move1,move1,0,move2,4-2,4-3,1-2,1-1
22,0,25,51,capture,move1,move1,0,capture,4-6,4-5,-1,-1
23,1,26,51,move1,move1,move1,0,move1,4-3,4-4,-1,-1
24,0,26,57,move2,move1,move1,0,move2,4-5,4-4,-1,-1
25,1,26,57,move1,move1,move1,0,move1,4-3,3-4,-1,-1
26,0,26,63,move1,move1,move1,0,move1,4-7,4-6,-1,-1
