turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,swap,swap,capture,0,swap,4-1,4-2,-1,-1
2,0,0,0,swap,move1,capture,1,move1,7-5,7-3,-1,-1
3,1,0,0,swap,move1,capture,1,move1,4-2,4-3,-1,-1
4,0,0,0,move2,move1,capture,0,move2,1-5,1-3,-1,-1
5,1,6,0,move2,move2,capture,1,move2,4-3,4-4,-1,-1
6,0,6,0,move2,move2,capture,0,move2,1-3,1-1,-1,-1
7,1,12,0,mobilize,move2,capture,0,mobilize,1-5,2-4,-1,-1
8,0,12,0,swap,move2,capture,0,swap,4-7,4-8,7-3,6-3
9,1,18,0,capture,move2,capture,0,capture,7-5,6-3,-1,-1
10,0,18,0,capture,move2,capture,1,move2,4-8,5-8,-1,-1
11,1,24,0,capture,move1,capture,1,move1,6-3,5-4,-1,-1
12,0,24,0,capture,mobilize,capture,1,mobilize,1-1,1-2,-1,-1
13,1,30,0,capture,move2,capture,1,move2,2-4,3-4,5-4,5-3
14,0,30,0,capture,capture,capture,1,capture,5-8,5-6,-1,-1
15,1,30,0,capture,capture,capture,-1,None,-1,-1,-1,-1
16,0,30,0,move1,move1,swap,-1,None,-1,-1,-1,-1
17,1,36,0,capture,move1,swap,0,capture,5-3,5-4,-1,-1
18,0,36,0,capture,mobilize,swap,1,mobilize,7-5,7-6,-1,-1
19,1,42,0,capture,capture,swap,1,capture,3-4,3-3,5-4,5-3
20,0,42,0,capture,capture,move2,2,move2,1-2,3-3,-1,-1
21,1,48,0,capture,capture,move1,2,move1,5-3,5-4,-1,-1
22,0,48,0,capture,capture,mobilize,2,mobilize,5-6,5-5,-1,-1
23,1,55,0,mobilize,capture,mobilize,0,mobilize,5-4,5-5,-1,-1
24,0,55,0,mobilize,capture,move1,2,move1,4-7,4-6,3-3,3-2
25,1,61,0,mobilize,capture,swap,2,swap,1-2,1-3,-1,-1
