turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,4,0,move1,capture,mobilize,2,mobilize,1-3,1-4,7-3,7-4
2,0,4,0,move1,capture,move1,2,move1,7-5,6-5,1-5,1-6
3,1,9,0,swap,capture,move1,0,swap,4-1,4-2,-1,-1
4,0,9,0,swap,capture,move1,2,move1,4-7,3-7,-1,-1
5,1,13,0,swap,capture,move1,2,move1,4-2,4-1,-1,-1
6,0,13,0,swap,capture,mobilize,2,mobilize,1-6,1-7,-1,-1
7,1,16,0,swap,capture,mobilize,2,mobilize,4-1,4-2,1-4,1-3
8,0,16,0,swap,capture,capture,2,capture,3-7,3-8,1-7,1-8
9,1,17,0,capture,capture,capture,0,capture,7-4,6-5,-1,-1
10,0,17,0,capture,capture,capture,-1,None,-1,-1,-1,-1
11,1,17,0,move2,mobilize,move2,-1,None,-1,-1,-1,-1
12,0,17,0,move2,mobilize,move2,2,move2,7-4,6-3,-1,-1
13,1,20,0,capture,mobilize,move2,0,capture,1-3,1-4,-1,-1
14,0,20,0,capture,swap,move2,1,swap,3-8,3-7,6-3,6-4
15,1,25,0,capture,swap,move1,2,move1,6-5,7-4,-1,-1
16,0,25,0,capture,swap,move2,2,move2,6-4,6-5,-1,-1
17,1,32,0,capture,swap,move2,2,move2,4-2,4-4,-1,-1
18,0,32,0,capture,swap,capture,2,capture,1-8,1-7,-1,-1
19,1,37,0,capture,move1,capture,1,move1,7-4,6-5,-1,-1
20,0,37,2,capture,move2,capture,1,move2,3-7,4-7,-1,-1
21,1,42,2,capture,swap,capture,1,swap,6-5,5-4,-1,-1
22,0,42,7,capture,move1,capture,1,move1,4-7,4-4,-1,-1
23,1,45,7,capture,move1,capture,1,move1,4-7,4-6,-1,-1
24,0,45,9,capture,swap,capture,1,swap,4-4,4-5,-1,-1
25,1,50,9,capture,swap,capture,1,swap,5-4,7-4,-1,-1
26,0,50,10,mobilize,swap,capture,0,mobilize,4-5,4-6,-1,-1
27,1,53,10,capture,swap,capture,0,capture,4-1,4-2,1-4,1-3
28,0,53,11,capture,move1,capture,1,move1,5-4,4-2,-1,-1
29,1,58,11,capture,move1,capture,1,move1,5-4,4-4,-1,-1
30,0,58,11,capture,mobilize,capture,1,mobilize,4-2,5-2,-1,-1
31,1,64,11,move1,mobilize,capture,0,move1,4-4,4-5,-1,-1
