turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,4,0,move1,capture,mobilize,2,mobilize,1-3,1-4,7-3,7-4
2,0,4,1,move1,move1,mobilize,1,move1,1-5,1-4,-1,-1
3,1,9,1,move1,move1,swap,2,swap,4-1,4-2,1-3,1-4
4,0,9,3,move1,move1,move1,2,move1,7-5,7-4,-1,-1
5,1,12,3,move1,move1,move1,0,move1,7-5,7-6,-1,-1
6,0,12,6,mobilize,move1,move1,0,mobilize,4-7,4-6,-1,-1
7,1,15,6,mobilize,mobilize,move1,1,mobilize,7-6,6-6,-1,-1
8,0,15,9,mobilize,mobilize,capture,2,capture,1-5,1-6,-1,-1
9,1,17,9,capture,mobilize,capture,0,capture,4-2,4-3,6-6,6-5
10,0,17,11,capture,move2,capture,1,move2,4-6,3-6,1-6,2-6
11,1,22,11,capture,mobilize,capture,1,mobilize,4-3,4-4,-1,-1
12,0,22,13,capture,move2,capture,1,move2,3-6,3-5,2-6,2-5
13,1,27,13,capture,move2,capture,1,move2,6-5,5-4,-1,-1
14,0,27,15,capture,capture,capture,1,capture,3-5,2-4,-1,-1
15,1,33,15,swap,capture,capture,0,swap,1-4,2-4,-1,-1
16,0,33,20,move1,capture,capture,0,move1,4-7,4-4,-1,-1
17,1,36,20,move2,capture,capture,0,move2,4-7,4-6,-1,-1
18,0,36,26,move2,move2,capture,1,move2,4-4,5-4,-1,-1
19,1,40,26,capture,move2,capture,0,capture,4-1,4-2,-1,-1
20,0,40,31,capture,move1,capture,1,move1,2-5,3-4,-1,-1
21,1,43,31,capture,move2,capture,1,move2,4-6,4-5,-1,-1
22,0,43,37,swap,move2,capture,0,swap,4-4,4-5,-1,-1
23,1,49,37,move1,move2,capture,0,move1,4-1,4-4,-1,-1
24,0,49,40,move1,move2,move1,2,move1,3-4,4-4,-1,-1
25,1,54,40,move1,swap,move1,1,swap,4-2,4-4,-1,-1
26,0,54,45,move1,swap,move1,1,swap,4-1,4-4,-1,-1
27,1,59,45,move1,capture,move1,1,capture,4-1,4-4,-1,-1
28,0,59,48,move1,mobilize,move1,1,mobilize,3-4,4-4,-1,-1
29,1,61,48,move1,mobilize,move1,0,move1,7-3,7-2,-1,-1
