turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,2,0,move1,swap,move2,1,swap,4-1,4-0,7-3,7-4
2,0,2,2,mobilize,swap,move2,0,mobilize,1-5,1-4,-1,-1
3,1,2,2,mobilize,swap,move2,0,mobilize,1-3,0-3,7-4,8-4
4,0,2,7,mobilize,swap,move2,0,mobilize,4-7,4-6,7-5,7-4
5,1,2,7,mobilize,swap,move2,2,move2,4-0,3-0,-1,-1
6,0,2,14,mobilize,swap,capture,2,capture,4-6,4-4,-1,-1
7,1,2,14,capture,swap,capture,0,capture,3-0,2-0,0-3,0-4
8,0,2,22,capture,swap,capture,0,capture,7-4,8-4,-1,-1
9,1,4,22,capture,move1,capture,1,move1,0-4,1-4,-1,-1
10,0,4,28,move2,move1,capture,0,move2,0-4,1-4,-1,-1
11,1,4,28,move2,move1,capture,0,move2,2-0,3-0,-1,-1
12,0,4,35,move2,swap,capture,1,swap,0-4,1-4,-1,-1
13,1,4,35,move1,swap,capture,0,move1,3-0,4-0,-1,-1
14,0,4,43,move1,swap,swap,2,swap,1-4,1-3,-1,-1
15,1,4,43,swap,swap,swap,0,swap,1-3,1-2,-1,-1
16,0,4,48,move1,swap,swap,0,move1,1-4,1-2,-1,-1
17,1,4,48,capture,swap,swap,0,capture,1-4,1-5,-1,-1
18,0,4,53,capture,move1,swap,1,move1,1-2,1-5,-1,-1
19,1,4,53,capture,move1,swap,1,move1,4-1,3-1,-1,-1
20,0,4,60,capture,mobilize,swap,1,mobilize,1-5,1-4,-1,-1
