turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,4-1,4-0,1-3,2-3
2,0,0,4,move1,capture,move1,2,move1,7-5,7-4,1-5,1-4
3,1,0,4,swap,capture,move1,0,swap,7-3,8-3,-1,-1
4,0,0,9,swap,capture,move1,2,move1,4-7,4-6,-1,-1
5,1,2,9,move1,capture,move1,0,move1,8-3,7-4,-1,-1
6,0,2,12,mobilize,capture,move1,0,mobilize,8-3,7-3,-1,-1
7,1,2,12,mobilize,capture,move1,0,mobilize,2-3,2-4,7-4,6-4
8,0,2,16,mobilize,capture,move1,1,capture,1-4,2-4,-1,-1
9,1,2,16,mobilize,capture,capture,2,capture,4-1,5-1,-1,-1
10,0,2,20,move2,capture,capture,0,move2,4-6,4-5,7-3,7-4
11,1,2,20,mobilize,capture,capture,0,mobilize,4-0,3-1,-1,-1
12,0,2,25,mobilize,move2,capture,1,move2,7-4,6-4,-1,-1
13,1,2,25,move2,move2,capture,0,move2,3-1,3-2,5-1,6-1
14,0,2,32,capture,move2,capture,0,capture,4-5,4-4,-1,-1
15,1,2,32,capture,swap,capture,1,swap,3-2,2-2,-1,-1
16,0,2,37,capture,move1,capture,1,move1,1-4,2-2,-1,-1
17,1,2,37,capture,move2,capture,1,move2,1-4,1-3,-1,-1
18,0,2,43,capture,move2,capture,1,move2,2-2,4-2,-1,-1
19,1,2,43,capture,capture,capture,1,capture,6-1,6-0,-1,-1
20,0,2,50,move1,capture,capture,0,move1,4-2,4-1,-1,-1
21,1,2,50,move2,capture,capture,0,move2,4-1,3-1,-1,-1
22,0,2,55,swap,capture,capture,0,swap,4-2,4-3,-1,-1
23,1,2,55,move1,capture,capture,0,move1,3-1,4-3,-1,-1
24,0,2,61,move1,move1,capture,1,move1,4-4,4-3,-1,-1
