turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,move2,1,mobilize,1-3,1-4,7-3,7-4
2,0,4,1,move1,mobilize,move2,0,move1,4-7,4-6,-1,-1
3,1,9,1,move1,mobilize,move2,0,move1,4-1,4-2,-1,-1
4,0,9,4,move1,mobilize,move1,2,move1,4-6,4-4,-1,-1
5,1,13,4,capture,mobilize,move1,0,capture,4-2,4-1,-1,-1
6,0,13,8,capture,mobilize,move1,0,capture,1-5,1-4,-1,-1
7,1,16,8,mobilize,mobilize,move1,0,mobilize,7-4,7-5,-1,-1
8,0,16,14,capture,mobilize,move1,0,capture,4-7,4-6,1-5,1-4
9,1,19,14,swap,mobilize,move1,0,swap,1-3,1-4,-1,-1
10,0,19,18,swap,mobilize,move1,2,move1,4-7,3-7,-1,-1
11,1,24,18,move1,mobilize,move1,0,move1,4-1,4-4,-1,-1
12,0,24,20,move1,capture,move1,1,capture,4-1,4-2,3-7,4-7
13,1,31,20,move1,capture,move1,0,move1,1-3,1-4,-1,-1
14,0,31,23,move1,move2,move1,1,move2,4-6,4-4,4-7,-1
15,1,35,23,move1,capture,move1,1,capture,4-1,3-2,-1,-1
16,0,35,26,move1,move2,move1,1,move2,4-2,3-2,-1,-1
17,1,39,26,move1,swap,move1,1,swap,4-1,3-2,-1,-1
18,0,39,28,mobilize,swap,move1,0,mobilize,4-7,3-7,-1,-1
19,1,44,28,mobilize,mobilize,move1,1,mobilize,3-2,4-2,-1,-1
20,0,44,29,move2,mobilize,move1,0,move2,3-2,3-3,3-7,3-6
21,1,51,29,move1,mobilize,move1,0,move1,4-2,4-4,-1,-1
22,0,51,30,move1,move2,move1,1,move2,3-3,3-4,3-6,3-5
23,1,56,30,move1,swap,move1,1,swap,1-4,1-6,-1,-1
24,0,56,33,move1,move2,move1,1,move2,4-6,4-4,-1,-1
25,1,61,33,move1,swap,move1,1,swap,1-6,1-4,-1,-1
