turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,2,0,capture,swap,move2,2,move2,1-3,1-4,-1,-1
2,0,2,0,capture,swap,capture,2,capture,7-5,7-6,-1,-1
3,1,5,0,move1,swap,capture,0,move1,1-4,1-5,-1,-1
4,0,5,0,move1,swap,capture,0,move1,7-5,8-5,-1,-1
5,1,9,0,swap,swap,capture,0,swap,7-3,7-4,-1,-1
6,0,9,2,capture,swap,capture,0,capture,8-5,7-4,-1,-1
7,1,13,2,capture,move2,capture,1,move2,8-5,7-4,-1,-1
8,0,13,2,capture,move2,capture,1,move2,7-6,7-5,-1,-1
9,1,18,2,mobilize,move2,capture,0,mobilize,7-4,7-5,-1,-1
10,0,18,2,mobilize,mobilize,capture,1,mobilize,8-5,8-4,-1,-1
11,1,23,2,mobilize,mobilize,move1,2,move1,7-4,8-4,-1,-1
12,0,23,2,mobilize,move1,move1,1,move1,7-5,6-5,1-5,1-6
13,1,28,2,mobilize,capture,move1,1,capture,4-1,4-2,-1,-1
14,0,28,2,move1,capture,move1,0,move1,6-5,5-5,1-6,1-5
15,1,34,2,move1,move2,move1,1,move2,1-4,1-5,-1,-1
16,0,34,2,move1,capture,move1,1,capture,7-5,6-6,-1,-1
17,1,38,2,mobilize,capture,move1,0,mobilize,4-2,4-1,-1,-1
18,0,38,2,mobilize,capture,move1,0,mobilize,4-7,4-8,5-5,5-4
19,1,43,2,mobilize,capture,move1,2,move1,4-1,4-2,-1,-1
20,0,43,2,move2,capture,move1,0,move2,5-4,6-4,6-6,5-6
21,1,49,2,move2,move1,move1,1,move1,7-4,6-4,-1,-1
22,0,49,2,swap,move1,move1,0,swap,4-8,3-8,-1,-1
23,1,53,2,swap,swap,move1,1,swap,4-2,4-1,-1,-1
24,0,53,2,swap,swap,mobilize,2,mobilize,5-6,5-5,-1,-1
25,1,56,2,swap,swap,move1,2,move1,4-1,4-2,7-4,7-3
26,0,56,2,swap,swap,move1,2,move1,4-7,4-8,-1,-1
27,1,61,2,swap,swap,move2,2,move2,7-3,7-4,-1,-1
