turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,3-1,3-2,1-2,2-2
2,0,0,0,move1,capture,move1,2,move1,5-4,4-4,1-4,1-5
3,1,2,0,swap,capture,move1,0,swap,3-2,3-3,-1,-1
4,0,2,2,move1,capture,move1,0,move1,4-4,3-3,-1,-1
5,1,2,2,move1,capture,move1,2,move1,5-2,4-2,-1,-1
6,0,2,4,mobilize,capture,move1,0,mobilize,1-5,1-4,-1,-1
7,1,2,4,mobilize,capture,move1,0,mobilize,4-4,4-3,2-2,3-2
8,0,2,6,capture,capture,move1,0,capture,3-5,3-4,1-4,0-4
9,1,3,6,capture,capture,move1,0,capture,4-3,3-3,-1,-1
10,0,3,7,capture,capture,move2,2,move2,0-4,0-3,-1,-1
11,1,5,7,capture,capture,mobilize,2,mobilize,4-3,3-3,-1,-1
12,0,5,9,move2,capture,mobilize,0,move2,3-4,3-3,-1,-1
13,1,7,9,move2,capture,mobilize,0,move2,4-2,3-3,-1,-1
14,0,7,10,capture,capture,mobilize,0,capture,3-4,5-4,-1,-1
15,1,10,10,swap,capture,mobilize,0,swap,3-3,3-5,3-2,-1
16,0,10,13,move1,capture,mobilize,0,move1,5-4,3-3,-1,-1
17,1,11,13,move1,move2,mobilize,1,move2,3-2,3-3,-1,-1
18,0,11,16,move1,move2,mobilize,1,move2,3-5,3-3,-1,-1
19,1,12,16,move1,capture,mobilize,1,capture,5-4,6-3,-1,-1
20,0,12,19,move1,capture,mobilize,0,move1,1-4,1-3,-1,-1
21,1,14,19,move1,move2,mobilize,1,move2,3-2,3-3,-1,-1
22,0,14,22,move1,swap,mobilize,1,swap,3-5,3-3,-1,-1
23,1,17,22,move1,move1,mobilize,1,move1,3-1,3-3,-1,-1
24,0,17,23,move1,move1,mobilize,0,move1,1-3,1-4,-1,-1
25,1,20,23,swap,move1,mobilize,0,swap,3-2,2-2,-1,-1
26,0,20,25,swap,move1,mobilize,0,swap,0-3,3-3,-1,-1
27,1,24,25,mobilize,move1,mobilize,0,mobilize,2-2,3-3,-1,-1
28,0,24,25,mobilize,move1,move1,2,move1,1-4,1-5,2-2,2-3
29,1,27,25,mobilize,capture,move1,1,capture,0-3,1-3,-1,-1
30,0,27,25,mobilize,capture,move1,2,move1,1-5,1-6,-1,-1
31,1,31,25,mobilize,mobilize,move1,1,mobilize,1-3,2-3,-1,-1
32,0,31,25,swap,mobilize,move1,0,swap,3-1,3-2,3-5,3-4
33,1,35,25,swap,mobilize,move1,2,move1,1-3,0-3,-1,-1
34,0,35,27,swap,mobilize,move1,0,swap,3-2,3-3,-1,-1
35,1,39,27,capture,mobilize,move1,0,capture,3-2,3-3,-1,-1
36,0,39,28,capture,mobilize,move1,0,capture,3-2,3-3,-1,-1
37,1,42,28,capture,mobilize,move1,0,capture,3-1,3-2,-1,-1
