turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,mobilize,2,mobilize,5-2,6-3,-1,-1
2,0,1,0,move1,move1,mobilize,1,move1,3-5,3-4,1-4,2-4
3,1,2,0,move1,move1,move1,2,move1,3-1,3-2,1-2,1-3
4,0,2,2,move1,move1,move1,0,move1,3-4,3-3,-1,-1
5,1,4,2,capture,move1,move1,0,capture,1-3,0-3,-1,-1
6,0,4,5,capture,move1,move1,0,capture,3-3,3-2,-1,-1
7,1,5,5,capture,move1,mobilize,2,mobilize,6-3,5-3,-1,-1
8,0,5,8,capture,move1,mobilize,0,capture,5-4,5-3,-1,-1
9,1,6,8,capture,move1,swap,2,swap,3-1,3-2,1-2,2-2
10,0,6,11,move1,move1,swap,0,move1,3-3,3-2,-1,-1
11,1,9,11,move1,move1,move1,2,move1,3-1,3-3,-1,-1
12,0,9,11,capture,move1,move1,0,capture,5-4,4-4,-1,-1
13,1,12,11,capture,move1,move1,1,move1,2-2,2-3,-1,-1
14,0,12,12,move2,move1,move1,0,move2,2-4,2-3,-1,-1
15,1,15,12,move2,capture,move1,1,capture,1-2,0-2,-1,-1
16,0,15,12,move2,capture,move1,0,move2,3-1,2-2,-1,-1
17,1,18,12,swap,capture,move1,0,swap,0-2,1-3,-1,-1
18,0,18,14,mobilize,capture,move1,0,mobilize,4-4,3-3,-1,-1
19,1,19,14,mobilize,capture,mobilize,2,mobilize,1-3,1-4,-1,-1
20,0,19,17,mobilize,move2,mobilize,1,move2,2-4,1-4,-1,-1
21,1,20,17,mobilize,move1,mobilize,1,move1,4-4,6-4,-1,-1
22,0,20,19,move2,move1,mobilize,0,move2,2-2,2-3,2-4,3-4
23,1,22,19,move2,move1,swap,2,swap,6-4,6-3,3-1,4-1
24,0,22,21,move2,move1,swap,0,move2,3-4,4-3,-1,-1
25,1,26,21,move2,move1,swap,2,swap,4-1,3-3,-1,-1
26,0,26,23,move2,move1,move1,2,move1,4-1,3-3,-1,-1
27,1,28,23,swap,move1,move1,0,swap,4-1,3-0,-1,-1
28,0,28,26,move1,move1,move1,0,move1,2-3,0-3,-1,-1
29,1,29,26,move1,move1,capture,2,capture,2-3,2-4,-1,-1
30,0,29,30,move1,move1,move2,2,move2,4-3,6-3,3-3,-1
31,1,29,30,mobilize,move1,move2,0,mobilize,2-4,2-5,-1,-1
32,0,29,34,mobilize,move1,capture,2,capture,4-3,6-3,-1,-1
33,1,29,34,mobilize,capture,capture,1,capture,2-5,2-6,-1,-1
34,0,29,36,swap,capture,capture,0,swap,0-3,1-3,6-3,5-3
35,1,31,36,mobilize,capture,capture,0,mobilize,3-0,3-3,-1,-1
36,0,31,37,mobilize,mobilize,capture,1,mobilize,3-0,3-1,-1,-1
37,1,33,37,mobilize,mobilize,capture,0,mobilize,3-1,3-2,2-6,1-6
38,0,33,39,move1,mobilize,capture,0,move1,1-3,0-3,5-3,6-3
39,1,36,39,move1,mobilize,move1,2,move1,3-2,3-0,3-3,-1
40,0,36,41,move2,mobilize,move1,0,move2,3-5,2-5,-1,-1
