turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-1,3-2,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,3-5,4-5,1-4,1-3
3,1,1,0,move1,swap,mobilize,1,swap,1-2,1-3,-1,-1
4,0,1,0,move1,swap,move1,2,move1,5-4,4-4,3-5,3-6
5,1,3,0,move1,swap,move1,0,move1,3-2,3-3,-1,-1
6,0,3,2,move1,mobilize,move1,1,mobilize,4-4,3-3,-1,-1
7,1,3,2,mobilize,mobilize,move1,0,mobilize,4-4,4-3,-1,-1
8,0,3,4,capture,mobilize,move1,0,capture,4-5,5-5,3-6,2-6
9,1,4,4,capture,mobilize,move1,0,capture,4-3,3-3,-1,-1
10,0,4,4,capture,move2,move1,1,move2,3-5,3-4,2-6,1-6
11,1,6,4,capture,move2,mobilize,2,mobilize,4-3,3-3,-1,-1
12,0,6,4,capture,move2,mobilize,1,move2,1-6,2-5,-1,-1
13,1,9,4,move2,move2,mobilize,0,move2,3-3,3-4,-1,-1
14,0,9,4,move2,move2,capture,2,capture,3-5,3-4,2-5,2-6
15,1,12,4,move2,move2,swap,2,swap,3-3,3-4,-1,-1
16,0,12,6,move2,move2,move1,2,move1,3-5,3-3,-1,-1
17,1,13,6,move2,move2,move1,0,move2,1-2,0-3,-1,-1
18,0,13,8,move2,move2,move2,2,move2,5-5,5-6,-1,-1
19,1,15,8,capture,move2,move2,0,capture,5-2,6-3,-1,-1
20,0,15,10,capture,move1,move2,1,move1,5-6,6-5,-1,-1
21,1,17,10,capture,move2,move2,1,move2,3-5,3-4,-1,-1
22,0,17,12,capture,move2,swap,2,swap,6-5,6-4,-1,-1
23,1,20,12,move1,move2,swap,0,move1,6-3,6-4,-1,-1
24,0,20,14,move1,move2,move1,2,move1,2-6,3-4,-1,-1
25,1,22,14,move1,swap,move1,1,swap,2-6,2-4,-1,-1
26,0,22,16,move1,capture,move1,1,capture,3-5,2-4,-1,-1
27,1,25,16,move1,mobilize,move1,1,mobilize,3-5,3-4,-1,-1
28,0,25,18,move1,mobilize,move1,1,mobilize,2-4,3-4,5-4,4-4
29,1,27,18,move1,mobilize,move1,0,move1,3-5,2-5,-1,-1
30,0,27,20,move1,mobilize,move1,2,move1,4-4,4-3,-1,-1
31,1,29,20,move1,mobilize,move1,0,move1,2-5,2-4,-1,-1
32,0,29,22,mobilize,mobilize,move1,0,mobilize,4-3,5-3,-1,-1
33,1,31,22,mobilize,mobilize,move2,2,move2,2-4,2-3,-1,-1
34,0,31,24,mobilize,swap,move2,1,swap,3-4,2-4,5-3,5-4
35,1,34,24,mobilize,capture,move2,1,capture,0-3,3-3,-1,-1
36,0,34,25,mobilize,capture,move2,2,move2,5-4,3-4,-1,-1
37,1,38,25,mobilize,capture,move2,1,capture,3-3,3-4,-1,-1
38,0,38,27,mobilize,swap,move2,1,swap,2-4,2-3,-1,-1
39,1,41,27,mobilize,swap,capture,2,capture,3-1,3-2,-1,-1
