game,agent_a,agent_b,winner,score_a,score_b
0,rule,random,A,112,4
1,rule,random,A,113,4
2,rule,random,A,112,11
3,rule,random,A,110,9
4,rule,random,A,108,13
5,rule,random,A,119,0
6,rule,random,A,106,13
7,rule,random,A,112,8
8,rule,random,draw,0,0
9,rule,random,A,107,12
10,rule,random,A,111,2
11,rule,random,A,115,8
12,rule,random,A,112,6
13,rule,random,A,104,20
14,rule,random,A,102,15
15,rule,random,A,111,11
16,rule,random,A,123,3
17,rule,random,A,119,6
18,rule,random,A,118,6
19,rule,random,A,1,0
20,rule,random,A,109,4
21,rule,random,A,118,4
22,rule,random,A,114,3
23,rule,random,A,119,9
24,rule,random,A,119,4
25,rule,random,A,109,17
26,rule,random,A,111,3
27,rule,random,A,112,5
28,rule,random,A,114,7
29,rule,random,A,116,9
